CODICE_CATASTALE;COMUNE;NUMERO;DATA_DELIBERA;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_DELIBERA;NOTE;COMUNE FUSO CON ALIQUOTE DIFFERENZIATE;EX_COMUNE
I954;STIGLIANO;30;10/11/2025;10/12/2025;MT;Basilicata;14344_DIMUNIC-02mt26i954d.pdf;"";NO;
D513;VALSINNI;24;27/11/2025;10/12/2025;MT;Basilicata;15214_DIMUNIC-02mt26d513d.pdf;"";NO;
G518;PETRONA';34;28/11/2025;05/12/2025;CZ;Calabria;12808_DIMUNIC-03cz26g518d.pdf;"";NO;
I655;SERRASTRETTA;12;26/11/2025;01/12/2025;CZ;Calabria;14415_DIMUNIC-03cz26i655d.pdf;"";NO;
I844;SORBO SAN BASILE;34;26/11/2025;05/12/2025;CZ;Calabria;12552_DIMUNIC-03cz26i844d.pdf;"";NO;
B655;CAPISTRANO;21;19/11/2025;25/11/2025;VV;Calabria;13446_DIMUNIC-03vv26b655d.pdf;"";NO;
F512;MONTEFUSCO;26;18/11/2025;04/12/2025;AV;Campania;12561_DIMUNIC-04av26f512d.pdf;"";NO;
I630;SERINO;48;02/12/2025;05/12/2025;AV;Campania;15323_DIMUNIC-04av26i630d.pdf;"";NO;
L965;VILLAMAINA;20;27/11/2025;05/12/2025;AV;Campania;13596_DIMUNIC-04av26l965d.pdf;"";NO;
L185;TOCCO CAUDIO;36;09/12/2025;11/12/2025;BN;Campania;14953_DIMUNIC-04bn26l185d.pdf;"";NO;
F203;MIGNANO MONTE LUNGO;31;27/11/2025;27/11/2025;CE;Campania;13719_DIMUNIC-04ce26f203d.pdf;"";NO;
I247;SANTA MARIA LA FOSSA;23;27/11/2025;09/12/2025;CE;Campania;12480_DIMUNIC-04ce26i247d.pdf;"";NO;
F162;META;63;27/11/2025;02/12/2025;NA;Campania;12513_DIMUNIC-04na26f162d.pdf;"";NO;
G670;PIMONTE;66;10/12/2025;10/12/2025;NA;Campania;15965_DIMUNIC-04na26g670d.pdf;"";NO;
I391;SAN VITALIANO;21;04/12/2025;05/12/2025;NA;Campania;13451_DIMUNIC-04na26i391d.pdf;"";NO;
M273;SANTA MARIA LA CARITA';172;02/12/2025;05/12/2025;NA;Campania;15434_DIMUNIC-04na26m273d.pdf;"";NO;
D527;FELITTO;15;28/11/2025;03/12/2025;SA;Campania;12590_DIMUNIC-04sa26d527d.pdf;"";NO;
