CODICE_CATASTALE;COMUNE;NUMERO;DATA_REGOLAMENTO;DATA_PUBBLICAZIONE;PR;REGIONE;FILE_REGOLAMENTO;FILE_DELIBERA;NOTE
E040;GIOIA DEI MARSI;50;28/12/2023;27/08/2024;AQ;Abruzzo;186534_CIMUNIC-01aq24e040d.pdf;186534_CIMUNIC-01aq24e040dAM.pdf;""
A345;L'AQUILA;190;18/12/2023;04/09/2024;AQ;Abruzzo;186644_CIMUNIC-01aq24a345d.pdf;186644_CIMUNIC-01aq24a345dAM.pdf;""
L103;TERAMO;15;30/04/2024;20/05/2024;TE;Abruzzo;184135_CIMUNIC-01te24l103d.pdf;184135_CIMUNIC-01te24l103dAM.pdf;""
H235;RENDE;8;07/03/2024;16/05/2024;CS;Calabria;183783_CIMUNIC-03cs24h235d.pdf;183783_CIMUNIC-03cs24h235dAM.pdf;""
C453;CENADI;7;12/04/2024;24/06/2024;CZ;Calabria;185324_CIMUNIC-03cz24c453d.pdf;185324_CIMUNIC-03cz24c453dAM.pdf;""
B481;CAMINI;26;10/07/2024;22/07/2024;RC;Calabria;185825_CIMUNIC-03rc24b481d.pdf;185825_CIMUNIC-03rc24b481dAM.pdf;""
M277;SAN FERDINANDO;09;14/03/2024;08/05/2024;RC;Calabria;183565_CIMUNIC-03rc24m277d.pdf;183565_CIMUNIC-03rc24m277dAM.pdf;""
H970;SAN LUCA;26;21/10/2023;30/01/2024;RC;Calabria;;180471_CIMUNIC-03rc24h970dAM.pdf;""
F744;MORRA DE SANCTIS;2;05/02/2024;23/08/2024;AV;Campania;186476_CIMUNIC-04av24f744d.pdf;186476_CIMUNIC-04av24f744dAM.pdf;""
D650;FOIANO DI VAL FORTORE;18;30/05/2024;11/06/2024;BN;Campania;184886_CIMUNIC-04bn24d650d.pdf;184886_CIMUNIC-04bn24d650dAM.pdf;""
H423;ROCCAMONFINA;4;25/01/2024;26/03/2024;CE;Campania;182472_CIMUNIC-04ce24h423d.pdf;182472_CIMUNIC-04ce24h423dAM.pdf;""
