url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A018;ACCIANO;A018;AQ;2025;36;20-12-2024;14-02-2025;IMU;;5325_DIMUNIC-01aq25a018d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080782cbc&nome=5325_DIMUNIC-01aq25a018d.pdf;0900f23080782cbc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A100;AIELLI;A100;AQ;2025;46;20-12-2024;13-02-2025;IMU;;7767_DIMUNIC-01aq25a100d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807804e0&nome=7767_DIMUNIC-01aq25a100d.pdf;0900f230807804e0
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A187;ALFEDENA;A187;AQ;2025;22;23-12-2024;12-03-2025;IMU;;269_DIMUNIC-01aq25a187d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a7026&nome=269_DIMUNIC-01aq25a187d.pdf;0900f230807a7026
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A318;ANVERSA DEGLI ABRUZZI;A318;AQ;2025;26;21-12-2024;04-02-2025;IMU;;4815_DIMUNIC-01aq25a318d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076f455&nome=4815_DIMUNIC-01aq25a318d.pdf;0900f2308076f455
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A481;ATELETA;A481;AQ;2025;24;16-12-2024;04-02-2025;IMU;;5832_DIMUNIC-01aq25a481d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080766d61&nome=5832_DIMUNIC-01aq25a481d.pdf;0900f23080766d61
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A515;AVEZZANO;A515;AQ;2025;71;30-12-2024;26-02-2025;IMU;;1264_DIMUNIC-01aq25a515d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078e1bb&nome=1264_DIMUNIC-01aq25a515d.pdf;0900f2308078e1bb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A603;BALSORANO;A603;AQ;2025;19;27-12-2024;11-02-2025;IMU;;370_DIMUNIC-01aq25a603d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077c66a&nome=370_DIMUNIC-01aq25a603d.pdf;0900f2308077c66a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A656;BARETE;A656;AQ;2025;25;30-12-2024;15-09-2025;IMU;;11304_DIMUNIC-01aq25a656d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808f36b0&nome=11304_DIMUNIC-01aq25a656d.pdf;0900f230808f36b0
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A667;BARISCIANO;A667;AQ;2025;27;12-11-2024;17-03-2025;IMU;;1023_DIMUNIC-01aq25a667d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807acbcf&nome=1023_DIMUNIC-01aq25a667d.pdf;0900f230807acbcf
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A678;BARREA;A678;AQ;2025;21;30-12-2024;03-02-2025;IMU;;2679_DIMUNIC-01aq25a678d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080772c33&nome=2679_DIMUNIC-01aq25a678d.pdf;0900f23080772c33
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=AQ&anno=2025&cc=A884;BISEGNA;A884;AQ;2025;5;24-01-2025;17-03-2025;IMU;;1041_DIMUNIC-01aq25a884d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aae7a&nome=1041_DIMUNIC-01aq25a884d.pdf;0900f230807aae7a
