url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=A125;ALBA ADRIATICA;A125;TE;2025;47;30-12-2024;12-03-2025;IMU;;1379_DIMUNIC-01te25a125d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a654a&nome=1379_DIMUNIC-01te25a125d.pdf;0900f230807a654a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=A270;ANCARANO;A270;TE;2025;12;27-02-2025;28-02-2025;IMU;;7789_DIMUNIC-01te25a270d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080797a95&nome=7789_DIMUNIC-01te25a270d.pdf;0900f23080797a95
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=A445;ARSITA;A445;TE;2025;21;30-12-2024;11-02-2025;IMU;;6435_DIMUNIC-01te25a445d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077c9bf&nome=6435_DIMUNIC-01te25a445d.pdf;0900f2308077c9bf
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=A488;ATRI;A488;TE;2025;1;28-02-2025;03-03-2025;IMU;;7685_DIMUNIC-01te25a488d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080798689&nome=7685_DIMUNIC-01te25a488d.pdf;0900f23080798689
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=A692;BASCIANO;A692;TE;2025;24;21-12-2024;14-01-2025;IMU;;2371_DIMUNIC-01te25a692d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075391a&nome=2371_DIMUNIC-01te25a692d.pdf;0900f2308075391a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=A746;BELLANTE;A746;TE;2025;51;30-12-2024;04-02-2025;IMU;;866_DIMUNIC-01te25a746d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807744d5&nome=866_DIMUNIC-01te25a746d.pdf;0900f230807744d5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=A885;BISENTI;A885;TE;2025;4;26-02-2025;27-02-2025;IMU;;8047_DIMUNIC-01te25a885d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080795d0e&nome=8047_DIMUNIC-01te25a885d.pdf;0900f23080795d0e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=B515;CAMPLI;B515;TE;2025;33;27-12-2024;31-03-2025;IMU;;5139_DIMUNIC-01te25b515d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807beed5&nome=5139_DIMUNIC-01te25b515d.pdf;0900f230807beed5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=B640;CANZANO;B640;TE;2025;4;27-01-2025;21-02-2025;IMU;;6039_DIMUNIC-01te25b640d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078c3fb&nome=6039_DIMUNIC-01te25b640d.pdf;0900f2308078c3fb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C040;CASTEL CASTAGNA;C040;TE;2025;11;20-12-2024;13-02-2025;IMU;;3540_DIMUNIC-01te25c040d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077e401&nome=3540_DIMUNIC-01te25c040d.pdf;0900f2308077e401
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C128;CASTELLALTO;C128;TE;2025;3;21-02-2025;27-02-2025;IMU;;7848_DIMUNIC-01te25c128d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807956ae&nome=7848_DIMUNIC-01te25c128d.pdf;0900f230807956ae
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C169;CASTELLI;C169;TE;2025;4;25-02-2025;28-02-2025;IMU;;7438_DIMUNIC-01te25c169d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807965d1&nome=7438_DIMUNIC-01te25c169d.pdf;0900f230807965d1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C316;CASTIGLIONE MESSER RAIMONDO;C316;TE;2025;38;27-12-2024;13-02-2025;IMU;;7807_DIMUNIC-01te25c316d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080781311&nome=7807_DIMUNIC-01te25c316d.pdf;0900f23080781311
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C322;CASTILENTI;C322;TE;2025;23;18-12-2024;04-02-2025;IMU;;5329_DIMUNIC-01te25c322d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076ac7b&nome=5329_DIMUNIC-01te25c322d.pdf;0900f2308076ac7b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C449;CELLINO ATTANASIO;C449;TE;2025;37;20-12-2024;14-02-2025;IMU;;5821_DIMUNIC-01te25c449d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080783d45&nome=5821_DIMUNIC-01te25c449d.pdf;0900f23080783d45
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C517;CERMIGNANO;C517;TE;2025;2;27-02-2025;28-02-2025;IMU;;8429_DIMUNIC-01te25c517d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079723d&nome=8429_DIMUNIC-01te25c517d.pdf;0900f2308079723d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C781;CIVITELLA DEL TRONTO;C781;TE;2025;31;21-12-2024;03-01-2025;IMU;;4821_DIMUNIC-01te25c781d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074cb76&nome=4821_DIMUNIC-01te25c781d.pdf;0900f2308074cb76
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C311;COLLEDARA;C311;TE;2025;36;27-11-2024;03-02-2025;IMU;;2583_DIMUNIC-01te25c311d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080760993&nome=2583_DIMUNIC-01te25c311d.pdf;0900f23080760993
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C901;COLONNELLA;C901;TE;2025;5;28-02-2025;12-03-2025;IMU;;4497_DIMUNIC-01te25c901d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6b4a&nome=4497_DIMUNIC-01te25c901d.pdf;0900f230807a6b4a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=C972;CONTROGUERRA;C972;TE;2025;27;19-12-2024;09-01-2025;IMU;;2504_DIMUNIC-01te25c972d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807512ef&nome=2504_DIMUNIC-01te25c972d.pdf;0900f230807512ef
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=abruzzo.htm&cm=&pr=TE&anno=2025&cc=D043;CORROPOLI;D043;TE;2025;4;24-02-2025;25-02-2025;IMU;;1990_DIMUNIC-01te25d043d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080791a56&nome=1990_DIMUNIC-01te25d043d.pdf;0900f23080791a56
