url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A013;ABRIOLA;A013;PZ;2025;2;26-02-2025;12-06-2025;IMU;;8041_DIMUNIC-02pz25a013d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308082f19c&nome=8041_DIMUNIC-02pz25a013d.pdf;0900f2308082f19c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A020;ACERENZA;A020;PZ;2025;24;17-12-2024;21-02-2025;IMU;;561_DIMUNIC-02pz25a020d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078abaf&nome=561_DIMUNIC-02pz25a020d.pdf;0900f2308078abaf
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A131;ALBANO DI LUCANIA;A131;PZ;2025;3;03-01-2025;15-04-2025;IMU;;6130_DIMUNIC-02pz25a131d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807d486f&nome=6130_DIMUNIC-02pz25a131d.pdf;0900f230807d486f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A321;ANZI;A321;PZ;2025;35;20-12-2024;06-02-2025;IMU;;3127_DIMUNIC-02pz25a321d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077738e&nome=3127_DIMUNIC-02pz25a321d.pdf;0900f2308077738e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A415;ARMENTO;A415;PZ;2025;23;23-12-2024;13-10-2025;IMU;;2126_DIMUNIC-02pz25a415d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230809791fc&nome=2126_DIMUNIC-02pz25a415d.pdf;0900f230809791fc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A482;ATELLA;A482;PZ;2025;2;13-01-2025;03-02-2025;IMU;;6906_DIMUNIC-02pz25a482d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807723b7&nome=6906_DIMUNIC-02pz25a482d.pdf;0900f230807723b7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A519;AVIGLIANO;A519;PZ;2025;26;20-12-2024;30-12-2024;IMU;;1117_DIMUNIC-02pz25a519d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807483a0&nome=1117_DIMUNIC-02pz25a519d.pdf;0900f230807483a0
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A604;BALVANO;A604;PZ;2025;33;18-12-2024;12-03-2025;IMU;;4394_DIMUNIC-02pz25a604d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6e3d&nome=4394_DIMUNIC-02pz25a604d.pdf;0900f230807a6e3d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A612;BANZI;A612;PZ;2025;34;11-12-2024;19-12-2024;IMU;;1114_DIMUNIC-02pz25a612d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073dc97&nome=1114_DIMUNIC-02pz25a612d.pdf;0900f2308073dc97
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=basilicata.htm&cm=&pr=PZ&anno=2025&cc=A615;BARAGIANO;A615;PZ;2025;28;30-12-2024;17-03-2025;IMU;;4781_DIMUNIC-02pz25a615d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a9ec1&nome=4781_DIMUNIC-02pz25a615d.pdf;0900f230807a9ec1
