url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=A255;AMARONI;A255;CZ;2025;27;28-12-2024;10-01-2025;IMU;;339_DIMUNIC-03cz25a255d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080752593&nome=339_DIMUNIC-03cz25a255d.pdf;0900f23080752593
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=A257;AMATO;A257;CZ;2025;20;19-12-2024;07-08-2025;IMU;;5620_DIMUNIC-03cz25a257d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808dc906&nome=5620_DIMUNIC-03cz25a257d.pdf;0900f230808dc906
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=A272;ANDALI;A272;CZ;2025;5;20-02-2025;04-03-2025;IMU;;7055_DIMUNIC-03cz25a272d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080795c63&nome=7055_DIMUNIC-03cz25a272d.pdf;0900f23080795c63
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=A397;ARGUSTO;A397;CZ;2025;4;28-02-2025;05-03-2025;IMU;;8234_DIMUNIC-03cz25a397d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080797642&nome=8234_DIMUNIC-03cz25a397d.pdf;0900f23080797642
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=A542;BADOLATO;A542;CZ;2025;1;25-02-2025;09-10-2025;IMU;;8424_DIMUNIC-03cz25a542d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308097c2d1&nome=8424_DIMUNIC-03cz25a542d.pdf;0900f2308097c2d1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=A736;BELCASTRO;A736;CZ;2025;5;01-04-2025;21-07-2025;IMU;;9082_DIMUNIC-03cz25a736d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808cb1c1&nome=9082_DIMUNIC-03cz25a736d.pdf;0900f230808cb1c1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=B002;BORGIA;B002;CZ;2025;29;23-12-2024;18-03-2025;IMU;;8941_DIMUNIC-03cz25b002d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807ae733&nome=8941_DIMUNIC-03cz25b002d.pdf;0900f230807ae733
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=B085;BOTRICELLO;B085;CZ;2025;3;22-02-2025;05-03-2025;IMU;;6676_DIMUNIC-03cz25b085d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080798169&nome=6676_DIMUNIC-03cz25b085d.pdf;0900f23080798169
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=B717;CARAFFA DI CATANZARO;B717;CZ;2025;2;15-02-2025;14-03-2025;IMU;;7175_DIMUNIC-03cz25b717d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a9940&nome=7175_DIMUNIC-03cz25b717d.pdf;0900f230807a9940
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=CZ&anno=2025&cc=B790;CARLOPOLI;B790;CZ;2025;17;21-12-2024;17-02-2025;IMU;;8016_DIMUNIC-03cz25b790d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080786756&nome=8016_DIMUNIC-03cz25b790d.pdf;0900f23080786756
