url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=A772;BELVEDERE DI SPINELLO;A772;KR;2025;26;16-12-2024;03-02-2025;IMU;;5924_DIMUNIC-03kr25a772d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080771be4&nome=5924_DIMUNIC-03kr25a772d.pdf;0900f23080771be4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=B319;CACCURI;B319;KR;2025;28;20-12-2024;24-02-2025;IMU;;5568_DIMUNIC-03kr25b319d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078f6d2&nome=5568_DIMUNIC-03kr25b319d.pdf;0900f2308078f6d2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=B771;CARFIZZI;B771;KR;2025;2;27-02-2025;14-03-2025;IMU;ERRATA CORRIGE PER CORREZIONE ESTREMI DELIBERA;8885_DIMUNIC-03kr25b771d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a9e82&nome=8885_DIMUNIC-03kr25b771d.pdf;0900f230807a9e82
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=B771;CARFIZZI;B771;KR;2025;1;27-02-2025;05-03-2025;IMU;;8045_DIMUNIC-03kr25b771d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807976b1&nome=8045_DIMUNIC-03kr25b771d.pdf;0900f230807976b1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=B857;CASABONA;B857;KR;2025;5;26-02-2025;05-03-2025;IMU;;7694_DIMUNIC-03kr25b857d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079476f&nome=7694_DIMUNIC-03kr25b857d.pdf;0900f2308079476f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=B968;CASTELSILANO;B968;KR;2025;4;28-02-2025;13-03-2025;IMU;;8454_DIMUNIC-03kr25b968d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a67fa&nome=8454_DIMUNIC-03kr25b968d.pdf;0900f230807a67fa
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=C501;CERENZIA;C501;KR;2025;4;27-02-2025;17-03-2025;IMU;;8040_DIMUNIC-03kr25c501d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aa563&nome=8040_DIMUNIC-03kr25c501d.pdf;0900f230807aa563
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=C725;CIRO';C725;KR;2025;7;22-03-2025;01-04-2025;IMU;;4846_DIMUNIC-03kr25c725d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807c0de2&nome=4846_DIMUNIC-03kr25c725d.pdf;0900f230807c0de2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=C725;CIRO';C725;KR;2025;6;21-02-2025;01-04-2025;IMU;;9143_DIMUNIC-03kr25c725d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807c1de6&nome=9143_DIMUNIC-03kr25c725d.pdf;0900f230807c1de6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=C725;CIRO';C725;KR;2025;20;27-06-2025;25-07-2025;IMU;RATIFICA DA PARTE DELL'ORGANO COMPETENTE;10421_DIMUNIC-03kr25c725d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808c3ea3&nome=10421_DIMUNIC-03kr25c725d.pdf;0900f230808c3ea3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=KR&anno=2025&cc=C726;CIRO' MARINA;C726;KR;2025;5;27-03-2025;17-06-2025;IMU;;8597_DIMUNIC-03kr25c726d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808420f0&nome=8597_DIMUNIC-03kr25c726d.pdf;0900f230808420f0
