url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=A043;ACQUARO;A043;VV;2025;5;27-02-2025;05-03-2025;IMU;;8746_DIMUNIC-03vv25a043d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080799eb5&nome=8746_DIMUNIC-03vv25a043d.pdf;0900f23080799eb5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=B169;BRIATICO;B169;VV;2025;21;29-11-2024;18-02-2025;IMU;;2932_DIMUNIC-03vv25b169d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080781bbe&nome=2932_DIMUNIC-03vv25b169d.pdf;0900f23080781bbe
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=B197;BROGNATURO;B197;VV;2025;5;25-02-2025;18-09-2025;IMU;;8445_DIMUNIC-03vv25b197d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808ee73b&nome=8445_DIMUNIC-03vv25b197d.pdf;0900f230808ee73b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2026&cc=B655;CAPISTRANO;B655;VV;2026;21;19-11-2025;25-11-2025;IMU;;13446_DIMUNIC-03vv26b655d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080aa397c&nome=13446_DIMUNIC-03vv26b655d.pdf;0900f23080aa397c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=C581;CESSANITI;C581;VV;2025;11;10-07-2025;09-09-2025;IMU;;5922_DIMUNIC-03vv25c581d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808ed19e&nome=5922_DIMUNIC-03vv25c581d.pdf;0900f230808ed19e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D253;DASA';D253;VV;2025;35;23-12-2024;17-02-2025;IMU;;7881_DIMUNIC-03vv25d253d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807829b3&nome=7881_DIMUNIC-03vv25d253d.pdf;0900f230807829b3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D253;DASA';D253;VV;2025;2;28-02-2025;03-04-2025;IMU;ERRATA CORRIGE PER CORREZIONE ESTREMI DELIBERA;9049_DIMUNIC-03vv25d253d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807ba114&nome=9049_DIMUNIC-03vv25d253d.pdf;0900f230807ba114
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D303;DINAMI;D303;VV;2025;30;25-11-2024;11-08-2025;IMU;;10804_DIMUNIC-03vv25d303d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808dcc40&nome=10804_DIMUNIC-03vv25d303d.pdf;0900f230808dcc40
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D453;FABRIZIA;D453;VV;2025;13;01-08-2025;01-09-2025;IMU;;10682_DIMUNIC-03vv25d453d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808e6bfd&nome=10682_DIMUNIC-03vv25d453d.pdf;0900f230808e6bfd
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D587;FILADELFIA;D587;VV;2025;3;27-02-2025;11-03-2025;IMU;;8787_DIMUNIC-03vv25d587d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079f1b5&nome=8787_DIMUNIC-03vv25d587d.pdf;0900f2308079f1b5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D589;FILANDARI;D589;VV;2025;2;25-02-2025;07-10-2025;IMU;;6815_DIMUNIC-03vv25d589d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308090fa23&nome=6815_DIMUNIC-03vv25d589d.pdf;0900f2308090fa23
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D596;FILOGASO;D596;VV;2025;27;24-02-2025;03-03-2025;IMU;;8316_DIMUNIC-03vv25d596d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807975d6&nome=8316_DIMUNIC-03vv25d596d.pdf;0900f230807975d6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D762;FRANCAVILLA ANGITOLA;D762;VV;2025;18;21-02-2025;03-03-2025;IMU;;3539_DIMUNIC-03vv25d762d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078d9bb&nome=3539_DIMUNIC-03vv25d762d.pdf;0900f2308078d9bb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D767;FRANCICA;D767;VV;2025;9;27-02-2025;17-03-2025;IMU;;4884_DIMUNIC-03vv25d767d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6b13&nome=4884_DIMUNIC-03vv25d767d.pdf;0900f230807a6b13
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=D988;GEROCARNE;D988;VV;2025;33;18-12-2024;30-01-2025;IMU;;6177_DIMUNIC-03vv25d988d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076d783&nome=6177_DIMUNIC-03vv25d988d.pdf;0900f2308076d783
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=calabria.htm&cm=&pr=VV&anno=2025&cc=E321;JONADI;E321;VV;2025;6;22-02-2025;28-02-2025;IMU;;1899_DIMUNIC-03vv25e321d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080797a4a&nome=1899_DIMUNIC-03vv25e321d.pdf;0900f23080797a4a
