url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A101;AIELLO DEL SABATO;A101;AV;2025;43;17-12-2024;11-06-2025;IMU;;5617_DIMUNIC-04av25a101d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308082eb37&nome=5617_DIMUNIC-04av25a101d.pdf;0900f2308082eb37
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A228;ALTAVILLA IRPINA;A228;AV;2025;48;23-12-2024;19-06-2025;IMU;;4208_DIMUNIC-04av25a228d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080846d9a&nome=4208_DIMUNIC-04av25a228d.pdf;0900f23080846d9a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A284;ANDRETTA;A284;AV;2025;3;27-02-2025;04-03-2025;IMU;;8042_DIMUNIC-04av25a284d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079686b&nome=8042_DIMUNIC-04av25a284d.pdf;0900f2308079686b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A347;AQUILONIA;A347;AV;2025;25;30-12-2024;13-02-2025;IMU;;1617_DIMUNIC-04av25a347d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077f0b7&nome=1617_DIMUNIC-04av25a347d.pdf;0900f2308077f0b7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A399;ARIANO IRPINO;A399;AV;2025;61;30-12-2024;13-02-2025;IMU;;6114_DIMUNIC-04av25a399d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077bd3b&nome=6114_DIMUNIC-04av25a399d.pdf;0900f2308077bd3b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A489;ATRIPALDA;A489;AV;2025;45;20-12-2024;15-01-2025;IMU;;601_DIMUNIC-04av25a489d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807551be&nome=601_DIMUNIC-04av25a489d.pdf;0900f230807551be
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A508;AVELLA;A508;AV;2025;6;05-03-2025;25-03-2025;IMU;;6842_DIMUNIC-04av25a508d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b8633&nome=6842_DIMUNIC-04av25a508d.pdf;0900f230807b8633
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A509;AVELLINO;A509;AV;2025;58;13-12-2024;25-02-2025;IMU;;2078_DIMUNIC-04av25a509d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080791ee6&nome=2078_DIMUNIC-04av25a509d.pdf;0900f23080791ee6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A566;BAGNOLI IRPINO;A566;AV;2025;36;22-11-2024;18-02-2025;IMU;;678_DIMUNIC-04av25a566d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078648c&nome=678_DIMUNIC-04av25a566d.pdf;0900f2308078648c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=AV&anno=2025&cc=A580;BAIANO;A580;AV;2025;3;26-02-2025;17-04-2025;IMU;;7347_DIMUNIC-04av25a580d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807d948a&nome=7347_DIMUNIC-04av25a580d.pdf;0900f230807d948a
