url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=A106;AILANO;A106;CE;2025;37;19-12-2024;10-01-2025;IMU;;2178_DIMUNIC-04ce25a106d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074610d&nome=2178_DIMUNIC-04ce25a106d.pdf;0900f2308074610d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=A200;ALIFE;A200;CE;2025;11;13-03-2025;27-03-2025;IMU;;9055_DIMUNIC-04ce25a200d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807bbadd&nome=9055_DIMUNIC-04ce25a200d.pdf;0900f230807bbadd
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=A200;ALIFE;A200;CE;2025;37;29-07-2025;23-09-2025;IMU;;11404_DIMUNIC-04ce25a200d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808fc9cc&nome=11404_DIMUNIC-04ce25a200d.pdf;0900f230808fc9cc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=A243;ALVIGNANO;A243;CE;2025;2;27-02-2025;04-03-2025;IMU;;6671_DIMUNIC-04ce25a243d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080796f97&nome=6671_DIMUNIC-04ce25a243d.pdf;0900f23080796f97
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=A403;ARIENZO;A403;CE;2025;3;28-02-2025;13-03-2025;IMU;;8192_DIMUNIC-04ce25a403d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6dbf&nome=8192_DIMUNIC-04ce25a403d.pdf;0900f230807a6dbf
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=A512;AVERSA;A512;CE;2025;11;28-02-2025;17-03-2025;IMU;;7514_DIMUNIC-04ce25a512d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a8fce&nome=7514_DIMUNIC-04ce25a512d.pdf;0900f230807a8fce
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=A579;BAIA E LATINA;A579;CE;2025;28;28-12-2024;21-01-2025;IMU;;4040_DIMUNIC-04ce25a579d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075c4ad&nome=4040_DIMUNIC-04ce25a579d.pdf;0900f2308075c4ad
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=A755;BELLONA;A755;CE;2025;2;27-02-2025;12-03-2025;IMU;;7692_DIMUNIC-04ce25a755d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a5f64&nome=7692_DIMUNIC-04ce25a755d.pdf;0900f230807a5f64
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=B361;CAIANELLO;B361;CE;2025;36;27-12-2024;17-01-2025;IMU;;3767_DIMUNIC-04ce25b361d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080759e55&nome=3767_DIMUNIC-04ce25b361d.pdf;0900f23080759e55
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=B362;CAIAZZO;B362;CE;2025;43;27-11-2024;13-03-2025;IMU;;337_DIMUNIC-04ce25b362d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6a39&nome=337_DIMUNIC-04ce25b362d.pdf;0900f230807a6a39
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=CE&anno=2025&cc=B445;CALVI RISORTA;B445;CE;2025;19;25-11-2024;13-12-2024;IMU;;3180_DIMUNIC-04ce25b445d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807298f1&nome=3180_DIMUNIC-04ce25b445d.pdf;0900f230807298f1
