url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A023;ACERNO;A023;SA;2025;3;20-03-2025;01-07-2025;IMU;;8141_DIMUNIC-04sa25a023d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308086a3b9&nome=8141_DIMUNIC-04sa25a023d.pdf;0900f2308086a3b9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A091;AGROPOLI;A091;SA;2025;10;27-02-2025;06-06-2025;IMU;;7313_DIMUNIC-04sa25a091d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080822851&nome=7313_DIMUNIC-04sa25a091d.pdf;0900f23080822851
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A128;ALBANELLA;A128;SA;2025;41;27-12-2024;10-10-2025;IMU;;5307_DIMUNIC-04sa25a128d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308098c123&nome=5307_DIMUNIC-04sa25a128d.pdf;0900f2308098c123
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A186;ALFANO;A186;SA;2025;5;27-02-2025;13-03-2025;IMU;;8279_DIMUNIC-04sa25a186d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6b30&nome=8279_DIMUNIC-04sa25a186d.pdf;0900f230807a6b30
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A230;ALTAVILLA SILENTINA;A230;SA;2025;4;28-02-2025;09-05-2025;IMU;;8093_DIMUNIC-04sa25a230d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807ed3df&nome=8093_DIMUNIC-04sa25a230d.pdf;0900f230807ed3df
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A251;AMALFI;A251;SA;2025;1;27-02-2025;10-03-2025;IMU;;191_DIMUNIC-04sa25a251d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079d79d&nome=191_DIMUNIC-04sa25a251d.pdf;0900f2308079d79d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A294;ANGRI;A294;SA;2025;2;27-02-2025;13-03-2025;IMU;;8188_DIMUNIC-04sa25a294d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6b0f&nome=8188_DIMUNIC-04sa25a294d.pdf;0900f230807a6b0f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A343;AQUARA;A343;SA;2025;53;15-12-2024;19-02-2025;IMU;;5120_DIMUNIC-04sa25a343d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080788879&nome=5120_DIMUNIC-04sa25a343d.pdf;0900f23080788879
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A460;ASCEA;A460;SA;2025;47;23-12-2024;10-03-2025;IMU;;4631_DIMUNIC-04sa25a460d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079ef8f&nome=4631_DIMUNIC-04sa25a460d.pdf;0900f2308079ef8f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=campania.htm&cm=&pr=SA&anno=2025&cc=A484;ATENA LUCANA;A484;SA;2025;1;13-02-2025;05-03-2025;IMU;;7637_DIMUNIC-04sa25a484d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079af64&nome=7637_DIMUNIC-04sa25a484d.pdf;0900f2308079af64
