url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=A713;BASTIGLIA;A713;MO;2025;4;28-02-2025;18-04-2025;IMU;;5857_DIMUNIC-05mo25a713d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807dbf16&nome=5857_DIMUNIC-05mo25a713d.pdf;0900f230807dbf16
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=A959;BOMPORTO;A959;MO;2025;46;19-12-2024;31-01-2025;IMU;;4077_DIMUNIC-05mo25a959d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080763b95&nome=4077_DIMUNIC-05mo25a959d.pdf;0900f23080763b95
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=B539;CAMPOGALLIANO;B539;MO;2025;54;19-12-2024;10-01-2025;IMU;;1033_DIMUNIC-05mo25b539d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080751b86&nome=1033_DIMUNIC-05mo25b539d.pdf;0900f23080751b86
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=B566;CAMPOSANTO;B566;MO;2025;50;30-12-2024;10-02-2025;IMU;;4926_DIMUNIC-05mo25b566d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077ad08&nome=4926_DIMUNIC-05mo25b566d.pdf;0900f2308077ad08
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=B819;CARPI;B819;MO;2025;95;23-12-2024;28-01-2025;IMU;;698_DIMUNIC-05mo25b819d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076b130&nome=698_DIMUNIC-05mo25b819d.pdf;0900f2308076b130
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=C107;CASTELFRANCO EMILIA;C107;MO;2025;60;19-12-2024;10-02-2025;IMU;;1247_DIMUNIC-05mo25c107d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077bb2f&nome=1247_DIMUNIC-05mo25c107d.pdf;0900f2308077bb2f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=C242;CASTELNUOVO RANGONE;C242;MO;2025;109;23-12-2024;20-01-2025;IMU;;41_DIMUNIC-05mo25c242d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075e7f8&nome=41_DIMUNIC-05mo25c242d.pdf;0900f2308075e7f8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=C287;CASTELVETRO DI MODENA;C287;MO;2025;95;18-12-2024;04-02-2025;IMU;;3335_DIMUNIC-05mo25c287d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080773f0e&nome=3335_DIMUNIC-05mo25c287d.pdf;0900f23080773f0e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=C398;CAVEZZO;C398;MO;2025;66;30-12-2024;04-02-2025;IMU;;4130_DIMUNIC-05mo25c398d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080775183&nome=4130_DIMUNIC-05mo25c398d.pdf;0900f23080775183
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=MO&anno=2025&cc=C951;CONCORDIA SULLA SECCHIA;C951;MO;2025;56;30-12-2024;03-03-2025;IMU;;4102_DIMUNIC-05mo25c951d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080794a94&nome=4102_DIMUNIC-05mo25c951d.pdf;0900f23080794a94
