url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=A191;ALFONSINE;A191;RA;2025;2;21-01-2025;12-03-2025;IMU;;1388_DIMUNIC-05ra25a191d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6681&nome=1388_DIMUNIC-05ra25a191d.pdf;0900f230807a6681
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=A191;ALFONSINE;A191;RA;2025;2;21-01-2025;21-05-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;9704_DIMUNIC-05ra25a191d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080805af9&nome=9704_DIMUNIC-05ra25a191d.pdf;0900f23080805af9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=A547;BAGNACAVALLO;A547;RA;2025;6;23-01-2025;12-03-2025;IMU;;1597_DIMUNIC-05ra25a547d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a66ac&nome=1597_DIMUNIC-05ra25a547d.pdf;0900f230807a66ac
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=A547;BAGNACAVALLO;A547;RA;2025;6;23-01-2025;22-05-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;9705_DIMUNIC-05ra25a547d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080805b4d&nome=9705_DIMUNIC-05ra25a547d.pdf;0900f23080805b4d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=A551;BAGNARA DI ROMAGNA;A551;RA;2025;5;30-01-2025;12-03-2025;IMU;;1602_DIMUNIC-05ra25a551d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a692f&nome=1602_DIMUNIC-05ra25a551d.pdf;0900f230807a692f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=A551;BAGNARA DI ROMAGNA;A551;RA;2025;5;30-01-2025;22-05-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;9706_DIMUNIC-05ra25a551d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080805e3e&nome=9706_DIMUNIC-05ra25a551d.pdf;0900f23080805e3e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=B188;BRISIGHELLA;B188;RA;2025;44;18-12-2024;05-02-2025;IMU;;2250_DIMUNIC-05ra25b188d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080774847&nome=2250_DIMUNIC-05ra25b188d.pdf;0900f23080774847
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=B982;CASOLA VALSENIO;B982;RA;2025;43;18-12-2024;04-02-2025;IMU;;2169_DIMUNIC-05ra25b982d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080774d0d&nome=2169_DIMUNIC-05ra25b982d.pdf;0900f23080774d0d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=C065;CASTEL BOLOGNESE;C065;RA;2025;45;18-12-2024;27-01-2025;IMU;;1554_DIMUNIC-05ra25c065d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807698da&nome=1554_DIMUNIC-05ra25c065d.pdf;0900f230807698da
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=C065;CASTEL BOLOGNESE;C065;RA;2025;45;18-12-2024;13-05-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;9543_DIMUNIC-05ra25c065d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807f0992&nome=9543_DIMUNIC-05ra25c065d.pdf;0900f230807f0992
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=emiliaromagna.htm&cm=&pr=RA&anno=2025&cc=C553;CERVIA;C553;RA;2025;12;27-02-2025;13-03-2025;IMU;;6165_DIMUNIC-05ra25c553d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a54a6&nome=6165_DIMUNIC-05ra25c553d.pdf;0900f230807a54a6
