url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=A341;APRILIA;A341;LT;2025;19;11-12-2024;10-01-2025;IMU;;2969_DIMUNIC-07lt25a341d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074cde5&nome=2969_DIMUNIC-07lt25a341d.pdf;0900f2308074cde5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=A707;BASSIANO;A707;LT;2025;4;20-03-2025;01-07-2025;IMU;;8891_DIMUNIC-07lt25a707d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080885bf7&nome=8891_DIMUNIC-07lt25a707d.pdf;0900f23080885bf7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=B527;CAMPODIMELE;B527;LT;2025;29;28-12-2024;17-01-2025;IMU;;6508_DIMUNIC-07lt25b527d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807595f3&nome=6508_DIMUNIC-07lt25b527d.pdf;0900f230807595f3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=C104;CASTELFORTE;C104;LT;2025;5;24-02-2025;08-08-2025;IMU;;8417_DIMUNIC-07lt25c104d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808de53d&nome=8417_DIMUNIC-07lt25c104d.pdf;0900f230808de53d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=C740;CISTERNA DI LATINA;C740;LT;2025;80;20-12-2024;10-01-2025;IMU;;2463_DIMUNIC-07lt25c740d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075152b&nome=2463_DIMUNIC-07lt25c740d.pdf;0900f2308075152b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=D003;CORI;D003;LT;2025;386;23-12-2024;22-05-2025;IMU;;3161_DIMUNIC-07lt25d003d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080805ae7&nome=3161_DIMUNIC-07lt25d003d.pdf;0900f23080805ae7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=D662;FONDI;D662;LT;2025;72;18-12-2024;20-01-2025;IMU;;3082_DIMUNIC-07lt25d662d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075c621&nome=3082_DIMUNIC-07lt25d662d.pdf;0900f2308075c621
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=D708;FORMIA;D708;LT;2025;1;28-02-2025;13-03-2025;IMU;;6884_DIMUNIC-07lt25d708d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a5df1&nome=6884_DIMUNIC-07lt25d708d.pdf;0900f230807a5df1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=D843;GAETA;D843;LT;2025;68;30-12-2024;13-02-2025;IMU;;550_DIMUNIC-07lt25d843d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080781266&nome=550_DIMUNIC-07lt25d843d.pdf;0900f23080781266
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=E375;ITRI;E375;LT;2025;122;19-12-2024;02-01-2025;IMU;;1313_DIMUNIC-07lt25e375d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080748960&nome=1313_DIMUNIC-07lt25e375d.pdf;0900f23080748960
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=E472;LATINA;E472;LT;2025;99;23-12-2024;20-01-2025;IMU;;196_DIMUNIC-07lt25e472d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075ce4c&nome=196_DIMUNIC-07lt25e472d.pdf;0900f2308075ce4c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=E527;LENOLA;E527;LT;2025;38;20-12-2024;05-02-2025;IMU;;5225_DIMUNIC-07lt25e527d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807769d9&nome=5225_DIMUNIC-07lt25e527d.pdf;0900f230807769d9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=E798;MAENZA;E798;LT;2025;44;18-12-2024;28-02-2025;IMU;;3448_DIMUNIC-07lt25e798d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080796300&nome=3448_DIMUNIC-07lt25e798d.pdf;0900f23080796300
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=F224;MINTURNO;F224;LT;2025;79;20-12-2024;14-03-2025;IMU;;15_DIMUNIC-07lt25f224d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a7f57&nome=15_DIMUNIC-07lt25f224d.pdf;0900f230807a7f57
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=F616;MONTE SAN BIAGIO;F616;LT;2025;64;27-12-2024;16-01-2025;IMU;;5995_DIMUNIC-07lt25f616d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080758aca&nome=5995_DIMUNIC-07lt25f616d.pdf;0900f23080758aca
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=F937;NORMA;F937;LT;2025;2;09-01-2025;26-03-2025;IMU;;3330_DIMUNIC-07lt25f937d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b7013&nome=3330_DIMUNIC-07lt25f937d.pdf;0900f230807b7013
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=G865;PONTINIA;G865;LT;2025;59;30-12-2024;05-02-2025;IMU;;2977_DIMUNIC-07lt25g865d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080772b29&nome=2977_DIMUNIC-07lt25g865d.pdf;0900f23080772b29
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=G871;PONZA;G871;LT;2025;13;11-04-2025;12-09-2025;IMU;;8343_DIMUNIC-07lt25g871d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808f1e39&nome=8343_DIMUNIC-07lt25g871d.pdf;0900f230808f1e39
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=G698;PRIVERNO;G698;LT;2025;120;20-12-2024;18-03-2025;IMU;;8862_DIMUNIC-07lt25g698d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aecb1&nome=8862_DIMUNIC-07lt25g698d.pdf;0900f230807aecb1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=LT&anno=2025&cc=G698;PRIVERNO;G698;LT;2025;120;20-12-2024;05-12-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;15398_DIMUNIC-07lt25g698d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080ab4ebe&nome=15398_DIMUNIC-07lt25g698d.pdf;0900f23080ab4ebe
