url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=A062;AFFILE;A062;RM;2025;27;20-12-2024;17-01-2025;IMU;;4399_DIMUNIC-07rm25a062d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807537b4&nome=4399_DIMUNIC-07rm25a062d.pdf;0900f230807537b4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=A084;AGOSTA;A084;RM;2025;36;13-12-2024;14-01-2025;IMU;;2141_DIMUNIC-07rm25a084d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075750f&nome=2141_DIMUNIC-07rm25a084d.pdf;0900f2308075750f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=A132;ALBANO LAZIALE;A132;RM;2025;48;30-12-2024;21-01-2025;IMU;;1316_DIMUNIC-07rm25a132d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075c23d&nome=1316_DIMUNIC-07rm25a132d.pdf;0900f2308075c23d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=A210;ALLUMIERE;A210;RM;2025;37;23-12-2024;13-02-2025;IMU;;5354_DIMUNIC-07rm25a210d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077b78e&nome=5354_DIMUNIC-07rm25a210d.pdf;0900f2308077b78e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=A297;ANGUILLARA SABAZIA;A297;RM;2025;41;28-12-2024;18-09-2025;IMU;;2628_DIMUNIC-07rm25a297d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808eff35&nome=2628_DIMUNIC-07rm25a297d.pdf;0900f230808eff35
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=A309;ANTICOLI CORRADO;A309;RM;2025;2;28-02-2025;18-03-2025;IMU;;8946_DIMUNIC-07rm25a309d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aed84&nome=8946_DIMUNIC-07rm25a309d.pdf;0900f230807aed84
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=A309;ANTICOLI CORRADO;A309;RM;2025;32;20-12-2024;24-02-2025;IMU;;8334_DIMUNIC-07rm25a309d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078da8d&nome=8334_DIMUNIC-07rm25a309d.pdf;0900f2308078da8d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=A323;ANZIO;A323;RM;2025;51;28-11-2024;13-12-2024;IMU;;2430_DIMUNIC-07rm25a323d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080737883&nome=2430_DIMUNIC-07rm25a323d.pdf;0900f23080737883
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=A370;ARCINAZZO ROMANO;A370;RM;2025;30;23-12-2024;14-01-2025;IMU;;6226_DIMUNIC-07rm25a370d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080756a1e&nome=6226_DIMUNIC-07rm25a370d.pdf;0900f23080756a1e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=RM&anno=2025&cc=M213;ARDEA;M213;RM;2025;110;12-12-2024;16-01-2025;IMU;;4038_DIMUNIC-07rm25m213d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074a40a&nome=4038_DIMUNIC-07rm25m213d.pdf;0900f2308074a40a
