url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=A040;ACQUAPENDENTE;A040;VT;2025;45;21-12-2024;05-03-2025;IMU;;5396_DIMUNIC-07vt25a040d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807978f0&nome=5396_DIMUNIC-07vt25a040d.pdf;0900f230807978f0
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=A412;ARLENA DI CASTRO;A412;VT;2025;39;29-12-2024;25-02-2025;IMU;;5376_DIMUNIC-07vt25a412d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080790ad3&nome=5376_DIMUNIC-07vt25a412d.pdf;0900f23080790ad3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=A577;BAGNOREGIO;A577;VT;2025;57;30-12-2024;05-02-2025;IMU;;3120_DIMUNIC-07vt25a577d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807758a4&nome=3120_DIMUNIC-07vt25a577d.pdf;0900f230807758a4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=A628;BARBARANO ROMANO;A628;VT;2025;2;28-02-2025;08-10-2025;IMU;;8564_DIMUNIC-07vt25a628d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308097ba7c&nome=8564_DIMUNIC-07vt25a628d.pdf;0900f2308097ba7c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=A706;BASSANO IN TEVERINA;A706;VT;2025;28;30-12-2024;04-03-2025;IMU;;4966_DIMUNIC-07vt25a706d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080795d08&nome=4966_DIMUNIC-07vt25a706d.pdf;0900f23080795d08
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=A704;BASSANO ROMANO;A704;VT;2025;2;18-02-2025;13-03-2025;IMU;;4095_DIMUNIC-07vt25a704d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6fb2&nome=4095_DIMUNIC-07vt25a704d.pdf;0900f230807a6fb2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=A857;BLERA;A857;VT;2025;32;28-12-2024;03-02-2025;IMU;;6319_DIMUNIC-07vt25a857d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076ebbf&nome=6319_DIMUNIC-07vt25a857d.pdf;0900f2308076ebbf
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=A949;BOLSENA;A949;VT;2025;55;30-12-2024;22-01-2025;IMU;;2572_DIMUNIC-07vt25a949d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075d0ca&nome=2572_DIMUNIC-07vt25a949d.pdf;0900f2308075d0ca
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=A955;BOMARZO;A955;VT;2025;28;12-12-2024;20-02-2025;IMU;;4774_DIMUNIC-07vt25a955d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078b7f3&nome=4774_DIMUNIC-07vt25a955d.pdf;0900f2308078b7f3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lazio.htm&cm=&pr=VT&anno=2025&cc=B388;CALCATA;B388;VT;2025;34;30-12-2024;18-03-2025;IMU;;1048_DIMUNIC-07vt25b388d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807ae21d&nome=1048_DIMUNIC-07vt25b388d.pdf;0900f230807ae21d
