url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=A388;ARENZANO;A388;GE;2025;26;28-11-2024;12-03-2025;IMU;;2001_DIMUNIC-08ge25a388d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6bf3&nome=2001_DIMUNIC-08ge25a388d.pdf;0900f230807a6bf3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=A506;AVEGNO;A506;GE;2025;39;30-12-2024;14-03-2025;IMU;;6303_DIMUNIC-08ge25a506d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a80a5&nome=6303_DIMUNIC-08ge25a506d.pdf;0900f230807a80a5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=A658;BARGAGLI;A658;GE;2025;3;26-02-2025;01-04-2025;IMU;;8054_DIMUNIC-08ge25a658d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807bfce0&nome=8054_DIMUNIC-08ge25a658d.pdf;0900f230807bfce0
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=A922;BOGLIASCO;A922;GE;2025;41;30-12-2024;16-01-2025;IMU;;4259_DIMUNIC-08ge25a922d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080758dcb&nome=4259_DIMUNIC-08ge25a922d.pdf;0900f23080758dcb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=B067;BORZONASCA;B067;GE;2025;48;30-12-2024;30-01-2025;IMU;;3272_DIMUNIC-08ge25b067d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076f7fb&nome=3272_DIMUNIC-08ge25b067d.pdf;0900f2308076f7fb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=B282;BUSALLA;B282;GE;2025;66;18-12-2024;23-01-2025;IMU;;284_DIMUNIC-08ge25b282d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076434a&nome=284_DIMUNIC-08ge25b282d.pdf;0900f2308076434a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=B490;CAMOGLI;B490;GE;2025;40;18-12-2024;20-05-2025;IMU;;1118_DIMUNIC-08ge25b490d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080802a6a&nome=1118_DIMUNIC-08ge25b490d.pdf;0900f23080802a6a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=B538;CAMPO LIGURE;B538;GE;2025;56;29-12-2024;21-01-2025;IMU;;6507_DIMUNIC-08ge25b538d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080761c2e&nome=6507_DIMUNIC-08ge25b538d.pdf;0900f23080761c2e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=B551;CAMPOMORONE;B551;GE;2025;50;30-12-2024;26-02-2025;IMU;;8551_DIMUNIC-08ge25b551d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080793e1e&nome=8551_DIMUNIC-08ge25b551d.pdf;0900f23080793e1e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=GE&anno=2025&cc=B726;CARASCO;B726;GE;2025;45;18-12-2024;22-01-2025;IMU;;1107_DIMUNIC-08ge25b726d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076307c&nome=1107_DIMUNIC-08ge25b726d.pdf;0900f2308076307c
