url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=A261;AMEGLIA;A261;SP;2025;39;17-12-2024;12-03-2025;IMU;;1667_DIMUNIC-08sp25a261d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a641c&nome=1667_DIMUNIC-08sp25a261d.pdf;0900f230807a641c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=A261;AMEGLIA;A261;SP;2025;39;17-12-2024;13-03-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;8844_DIMUNIC-08sp25a261d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a7069&nome=8844_DIMUNIC-08sp25a261d.pdf;0900f230807a7069
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=A373;ARCOLA;A373;SP;2025;89;18-12-2024;13-01-2025;IMU;;4112_DIMUNIC-08sp25a373d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075429e&nome=4112_DIMUNIC-08sp25a373d.pdf;0900f2308075429e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=A836;BEVERINO;A836;SP;2025;25;19-12-2024;27-03-2025;IMU;;5226_DIMUNIC-08sp25a836d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b9738&nome=5226_DIMUNIC-08sp25a836d.pdf;0900f230807b9738
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=A932;BOLANO;A932;SP;2025;41;19-12-2024;28-02-2025;IMU;;4843_DIMUNIC-08sp25a932d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080795b2b&nome=4843_DIMUNIC-08sp25a932d.pdf;0900f23080795b2b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=A961;BONASSOLA;A961;SP;2025;39;16-12-2024;17-12-2024;IMU;;426_DIMUNIC-08sp25a961d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073d670&nome=426_DIMUNIC-08sp25a961d.pdf;0900f2308073d670
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=A992;BORGHETTO DI VARA;A992;SP;2025;3;21-02-2025;24-02-2025;IMU;;6121_DIMUNIC-08sp25a992d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078f983&nome=6121_DIMUNIC-08sp25a992d.pdf;0900f2308078f983
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=B214;BRUGNATO;B214;SP;2025;45;29-11-2024;17-12-2024;IMU;;211_DIMUNIC-08sp25b214d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073d108&nome=211_DIMUNIC-08sp25b214d.pdf;0900f2308073d108
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=B410;CALICE AL CORNOVIGLIO;B410;SP;2025;38;05-12-2024;03-01-2025;IMU;;2383_DIMUNIC-08sp25b410d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074cea2&nome=2383_DIMUNIC-08sp25b410d.pdf;0900f2308074cea2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SP&anno=2025&cc=B838;CARRO;B838;SP;2025;6;22-02-2025;25-02-2025;IMU;;2868_DIMUNIC-08sp25b838d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079107a&nome=2868_DIMUNIC-08sp25b838d.pdf;0900f2308079107a
