url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A122;ALASSIO;A122;SV;2025;93;23-12-2024;23-01-2025;IMU;;3783_DIMUNIC-08sv25a122d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080764c58&nome=3783_DIMUNIC-08sv25a122d.pdf;0900f23080764c58
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A145;ALBENGA;A145;SV;2025;63;17-12-2024;14-03-2025;IMU;;936_DIMUNIC-08sv25a145d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a87d5&nome=936_DIMUNIC-08sv25a145d.pdf;0900f230807a87d5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A145;ALBENGA;A145;SV;2025;63;17-12-2024;22-04-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;9326_DIMUNIC-08sv25a145d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807d98dd&nome=9326_DIMUNIC-08sv25a145d.pdf;0900f230807d98dd
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A166;ALBISOLA SUPERIORE;A166;SV;2025;54;29-11-2024;10-02-2025;IMU;;228_DIMUNIC-08sv25a166d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807710d7&nome=228_DIMUNIC-08sv25a166d.pdf;0900f230807710d7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A165;ALBISSOLA MARINA;A165;SV;2025;41;28-11-2024;19-12-2024;IMU;;754_DIMUNIC-08sv25a165d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807422bb&nome=754_DIMUNIC-08sv25a165d.pdf;0900f230807422bb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A226;ALTARE;A226;SV;2025;38;20-12-2024;10-01-2025;IMU;;676_DIMUNIC-08sv25a226d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080751c2d&nome=676_DIMUNIC-08sv25a226d.pdf;0900f23080751c2d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A278;ANDORA;A278;SV;2025;13;28-02-2025;18-03-2025;IMU;;6524_DIMUNIC-08sv25a278d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a48e3&nome=6524_DIMUNIC-08sv25a278d.pdf;0900f230807a48e3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A422;ARNASCO;A422;SV;2025;29;18-12-2024;27-03-2025;IMU;;5022_DIMUNIC-08sv25a422d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b257b&nome=5022_DIMUNIC-08sv25a422d.pdf;0900f230807b257b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A593;BALESTRINO;A593;SV;2025;13;13-12-2024;26-02-2025;IMU;;4732_DIMUNIC-08sv25a593d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080792dd4&nome=4732_DIMUNIC-08sv25a593d.pdf;0900f23080792dd4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A647;BARDINETO;A647;SV;2025;42;27-12-2024;09-01-2025;IMU;;944_DIMUNIC-08sv25a647d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080751572&nome=944_DIMUNIC-08sv25a647d.pdf;0900f23080751572
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A796;BERGEGGI;A796;SV;2025;36/2024;17-12-2024;27-01-2025;IMU;;3945_DIMUNIC-08sv25a796d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080766bd7&nome=3945_DIMUNIC-08sv25a796d.pdf;0900f23080766bd7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A931;BOISSANO;A931;SV;2025;24;27-12-2024;23-01-2025;IMU;;580_DIMUNIC-08sv25a931d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807650c4&nome=580_DIMUNIC-08sv25a931d.pdf;0900f230807650c4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=A999;BORGHETTO SANTO SPIRITO;A999;SV;2025;41;23-12-2024;14-02-2025;IMU;;2484_DIMUNIC-08sv25a999d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080780391&nome=2484_DIMUNIC-08sv25a999d.pdf;0900f23080780391
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=B005;BORGIO VEREZZI;B005;SV;2025;46;30-12-2024;16-01-2025;IMU;;1074_DIMUNIC-08sv25b005d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807599ce&nome=1074_DIMUNIC-08sv25b005d.pdf;0900f230807599ce
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=B048;BORMIDA;B048;SV;2025;35;18-12-2024;03-01-2025;IMU;;6666_DIMUNIC-08sv25b048d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074cd72&nome=6666_DIMUNIC-08sv25b048d.pdf;0900f2308074cd72
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=liguria.htm&cm=&pr=SV&anno=2025&cc=B369;CAIRO MONTENOTTE;B369;SV;2025;82;30-12-2024;15-01-2025;IMU;;896_DIMUNIC-08sv25b369d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807581f6&nome=896_DIMUNIC-08sv25b369d.pdf;0900f230807581f6
