url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=A039;ACQUANEGRA CREMONESE;A039;CR;2025;37;19-12-2024;16-01-2025;IMU;;3550_DIMUNIC-09cr25a039d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080752c86&nome=3550_DIMUNIC-09cr25a039d.pdf;0900f23080752c86
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=A076;AGNADELLO;A076;CR;2025;38;25-11-2024;16-01-2025;IMU;;2269_DIMUNIC-09cr25a076d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075a1f9&nome=2269_DIMUNIC-09cr25a076d.pdf;0900f2308075a1f9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=A299;ANNICCO;A299;CR;2025;36;20-12-2024;13-03-2025;IMU;;5519_DIMUNIC-09cr25a299d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a7170&nome=5519_DIMUNIC-09cr25a299d.pdf;0900f230807a7170
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=A526;AZZANELLO;A526;CR;2025;27;18-12-2024;20-12-2024;IMU;;5804_DIMUNIC-09cr25a526d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080743acf&nome=5804_DIMUNIC-09cr25a526d.pdf;0900f23080743acf
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=A570;BAGNOLO CREMASCO;A570;CR;2025;36;19-12-2024;15-01-2025;IMU;;2163_DIMUNIC-09cr25a570d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080753742&nome=2163_DIMUNIC-09cr25a570d.pdf;0900f23080753742
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=A972;BONEMERSE;A972;CR;2025;35;20-12-2024;06-02-2025;IMU;;7532_DIMUNIC-09cr25a972d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080777309&nome=7532_DIMUNIC-09cr25a972d.pdf;0900f23080777309
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=A986;BORDOLANO;A986;CR;2025;26;11-12-2024;13-12-2024;IMU;;4062_DIMUNIC-09cr25a986d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080735c20&nome=4062_DIMUNIC-09cr25a986d.pdf;0900f23080735c20
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=B439;CALVATONE;B439;CR;2025;33;23-12-2024;04-03-2025;IMU;;8669_DIMUNIC-09cr25b439d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807963a0&nome=8669_DIMUNIC-09cr25b439d.pdf;0900f230807963a0
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=B484;CAMISANO;B484;CR;2025;40;21-12-2024;07-02-2025;IMU;;4028_DIMUNIC-09cr25b484d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080777708&nome=4028_DIMUNIC-09cr25b484d.pdf;0900f23080777708
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=CR&anno=2025&cc=B498;CAMPAGNOLA CREMASCA;B498;CR;2025;20;19-12-2024;10-01-2025;IMU;;5134_DIMUNIC-09cr25b498d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080752392&nome=5134_DIMUNIC-09cr25b498d.pdf;0900f23080752392
