url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=A005;ABBADIA LARIANA;A005;LC;2025;6;25-02-2025;17-03-2025;IMU;;5605_DIMUNIC-09lc25a005d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aca90&nome=5605_DIMUNIC-09lc25a005d.pdf;0900f230807aca90
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=A112;AIRUNO;A112;LC;2025;53;23-12-2024;17-01-2025;IMU;;5427_DIMUNIC-09lc25a112d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080753779&nome=5427_DIMUNIC-09lc25a112d.pdf;0900f23080753779
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=A301;ANNONE DI BRIANZA;A301;LC;2025;58;27-11-2024;31-01-2025;IMU;;2818_DIMUNIC-09lc25a301d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076c650&nome=2818_DIMUNIC-09lc25a301d.pdf;0900f2308076c650
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=A594;BALLABIO;A594;LC;2025;56;23-12-2024;16-01-2025;IMU;;2745_DIMUNIC-09lc25a594d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080758779&nome=2745_DIMUNIC-09lc25a594d.pdf;0900f23080758779
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=A683;BARZAGO;A683;LC;2025;48;16-12-2024;27-02-2025;IMU;;677_DIMUNIC-09lc25a683d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807930a4&nome=677_DIMUNIC-09lc25a683d.pdf;0900f230807930a4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=A686;BARZANO';A686;LC;2025;51;18-12-2024;10-01-2025;IMU;;5106_DIMUNIC-09lc25a686d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074f05e&nome=5106_DIMUNIC-09lc25a686d.pdf;0900f2308074f05e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=A687;BARZIO;A687;LC;2025;74;18-12-2024;13-02-2025;IMU;;2529_DIMUNIC-09lc25a687d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077d0f4&nome=2529_DIMUNIC-09lc25a687d.pdf;0900f2308077d0f4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=A745;BELLANO;A745;LC;2025;37;19-12-2024;13-02-2025;IMU;;1801_DIMUNIC-09lc25a745d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077e6ad&nome=1801_DIMUNIC-09lc25a745d.pdf;0900f2308077e6ad
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=B081;BOSISIO PARINI;B081;LC;2025;45;18-12-2024;13-02-2025;IMU;;4655_DIMUNIC-09lc25b081d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077da7c&nome=4655_DIMUNIC-09lc25b081d.pdf;0900f2308077da7c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=B194;BRIVIO;B194;LC;2025;27;19-11-2024;06-02-2025;IMU;;701_DIMUNIC-09lc25b194d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080775c7d&nome=701_DIMUNIC-09lc25b194d.pdf;0900f23080775c7d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=B261;BULCIAGO;B261;LC;2025;1;27-02-2025;04-03-2025;IMU;;8484_DIMUNIC-09lc25b261d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080796eb7&nome=8484_DIMUNIC-09lc25b261d.pdf;0900f23080796eb7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=B396;CALCO;B396;LC;2025;38;18-12-2024;08-04-2025;IMU;;5435_DIMUNIC-09lc25b396d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807cadc6&nome=5435_DIMUNIC-09lc25b396d.pdf;0900f230807cadc6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=B423;CALOLZIOCORTE;B423;LC;2025;44;19-12-2024;17-01-2025;IMU;;4144_DIMUNIC-09lc25b423d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075858f&nome=4144_DIMUNIC-09lc25b423d.pdf;0900f2308075858f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=B763;CARENNO;B763;LC;2025;57;18-12-2024;14-03-2025;IMU;;5555_DIMUNIC-09lc25b763d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a8bc5&nome=5555_DIMUNIC-09lc25b763d.pdf;0900f230807a8bc5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=B937;CASARGO;B937;LC;2025;6;26-02-2025;05-03-2025;IMU;;7687_DIMUNIC-09lc25b937d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079d318&nome=7687_DIMUNIC-09lc25b937d.pdf;0900f2308079d318
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=B943;CASATENOVO;B943;LC;2025;86;30-12-2024;14-01-2025;IMU;;1004_DIMUNIC-09lc25b943d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807561a3&nome=1004_DIMUNIC-09lc25b943d.pdf;0900f230807561a3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=B996;CASSAGO BRIANZA;B996;LC;2025;43;28-12-2024;29-01-2025;IMU;;3905_DIMUNIC-09lc25b996d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076c3be&nome=3905_DIMUNIC-09lc25b996d.pdf;0900f2308076c3be
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=C024;CASSINA VALSASSINA;C024;LC;2025;48;18-12-2024;20-12-2024;IMU;;5193_DIMUNIC-09lc25c024d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807442b2&nome=5193_DIMUNIC-09lc25c024d.pdf;0900f230807442b2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2026&cc=C187;CASTELLO DI BRIANZA;C187;LC;2026;45;24-11-2025;27-11-2025;IMU;;12735_DIMUNIC-09lc26c187d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080aa84d6&nome=12735_DIMUNIC-09lc26c187d.pdf;0900f23080aa84d6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=C521;CERNUSCO LOMBARDONE;C521;LC;2025;41;21-12-2024;20-03-2025;IMU;;5457_DIMUNIC-09lc25c521d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807ad7ae&nome=5457_DIMUNIC-09lc25c521d.pdf;0900f230807ad7ae
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=LC&anno=2025&cc=C563;CESANA BRIANZA;C563;LC;2025;32;27-12-2024;06-02-2025;IMU;;1377_DIMUNIC-09lc25c563d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080776af1&nome=1377_DIMUNIC-09lc25c563d.pdf;0900f23080776af1
