url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=A135;ALBAREDO PER SAN MARCO;A135;SO;2025;33;22-12-2024;10-01-2025;IMU;;2935_DIMUNIC-09so25a135d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080747910&nome=2935_DIMUNIC-09so25a135d.pdf;0900f23080747910
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=A172;ALBOSAGGIA;A172;SO;2025;24;18-12-2024;08-01-2025;IMU;;581_DIMUNIC-09so25a172d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074ab61&nome=581_DIMUNIC-09so25a172d.pdf;0900f2308074ab61
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=A273;ANDALO VALTELLINO;A273;SO;2025;29;17-12-2024;08-01-2025;IMU;;833_DIMUNIC-09so25a273d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080744cfd&nome=833_DIMUNIC-09so25a273d.pdf;0900f23080744cfd
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=A337;APRICA;A337;SO;2025;28;23-12-2024;17-01-2025;IMU;;4439_DIMUNIC-09so25a337d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807532a3&nome=4439_DIMUNIC-09so25a337d.pdf;0900f230807532a3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=A382;ARDENNO;A382;SO;2025;26;16-12-2024;18-02-2025;IMU;;4618_DIMUNIC-09so25a382d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807805e4&nome=4618_DIMUNIC-09so25a382d.pdf;0900f230807805e4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=A777;BEMA;A777;SO;2025;26;27-12-2024;10-01-2025;IMU;;5633_DIMUNIC-09so25a777d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074bd95&nome=5633_DIMUNIC-09so25a777d.pdf;0900f2308074bd95
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=A787;BERBENNO DI VALTELLINA;A787;SO;2025;56;23-12-2024;22-01-2025;IMU;;2859_DIMUNIC-09so25a787d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075fd0b&nome=2859_DIMUNIC-09so25a787d.pdf;0900f2308075fd0b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=A848;BIANZONE;A848;SO;2025;26;30-12-2024;17-01-2025;IMU;;5211_DIMUNIC-09so25a848d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075b248&nome=5211_DIMUNIC-09so25a848d.pdf;0900f2308075b248
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=B049;BORMIO;B049;SO;2025;65;30-12-2024;08-01-2025;IMU;;1847_DIMUNIC-09so25b049d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074a535&nome=1847_DIMUNIC-09so25b049d.pdf;0900f2308074a535
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=lombardia.htm&cm=&pr=SO&anno=2025&cc=B255;BUGLIO IN MONTE;B255;SO;2025;39;13-12-2024;20-12-2024;IMU;;4953_DIMUNIC-09so25b255d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807406d1&nome=4953_DIMUNIC-09so25b255d.pdf;0900f230807406d1
