url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=A092;AGUGLIANO;A092;AN;2025;54;20-12-2024;11-02-2025;IMU;;799_DIMUNIC-10an25a092d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077df5a&nome=799_DIMUNIC-10an25a092d.pdf;0900f2308077df5a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=A271;ANCONA;A271;AN;2025;3;09-01-2025;14-01-2025;IMU;;4493_DIMUNIC-10an25a271d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075768e&nome=4493_DIMUNIC-10an25a271d.pdf;0900f2308075768e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=A366;ARCEVIA;A366;AN;2025;38;28-11-2024;07-04-2025;IMU;;3551_DIMUNIC-10an25a366d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807c89b2&nome=3551_DIMUNIC-10an25a366d.pdf;0900f230807c89b2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=A626;BARBARA;A626;AN;2025;38;20-12-2024;28-01-2025;IMU;;5351_DIMUNIC-10an25a626d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076ba56&nome=5351_DIMUNIC-10an25a626d.pdf;0900f2308076ba56
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=A769;BELVEDERE OSTRENSE;A769;AN;2025;5;27-02-2025;03-03-2025;IMU;;6192_DIMUNIC-10an25a769d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080797c67&nome=6192_DIMUNIC-10an25a769d.pdf;0900f23080797c67
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=B468;CAMERANO;B468;AN;2025;57;17-12-2024;22-01-2025;IMU;;4168_DIMUNIC-10an25b468d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807636b2&nome=4168_DIMUNIC-10an25b468d.pdf;0900f230807636b2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=B470;CAMERATA PICENA;B470;AN;2025;11;07-01-2025;21-01-2025;IMU;;4176_DIMUNIC-10an25b470d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080760ce1&nome=4176_DIMUNIC-10an25b470d.pdf;0900f23080760ce1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=C060;CASTELBELLINO;C060;AN;2025;46;27-11-2024;11-02-2025;IMU;;2992_DIMUNIC-10an25c060d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077d806&nome=2992_DIMUNIC-10an25c060d.pdf;0900f2308077d806
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=C100;CASTELFIDARDO;C100;AN;2025;128;21-12-2024;21-02-2025;IMU;;1103_DIMUNIC-10an25c100d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078cff9&nome=1103_DIMUNIC-10an25c100d.pdf;0900f2308078cff9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=AN&anno=2025&cc=C152;CASTELLEONE DI SUASA;C152;AN;2025;36;29-11-2024;23-12-2024;IMU;;331_DIMUNIC-10an25c152d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074672d&nome=331_DIMUNIC-10an25c152d.pdf;0900f2308074672d
