url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=A329;APIRO;A329;MC;2025;57;30-12-2024;12-02-2025;IMU;;5720_DIMUNIC-10mc25a329d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077eb6e&nome=5720_DIMUNIC-10mc25a329d.pdf;0900f2308077eb6e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=A334;APPIGNANO;A334;MC;2025;46;18-12-2024;16-01-2025;IMU;;1263_DIMUNIC-10mc25a334d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075b383&nome=1263_DIMUNIC-10mc25a334d.pdf;0900f2308075b383
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=A739;BELFORTE DEL CHIENTI;A739;MC;2025;46;27-12-2024;15-01-2025;IMU;;5096_DIMUNIC-10mc25a739d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080757dcd&nome=5096_DIMUNIC-10mc25a739d.pdf;0900f23080757dcd
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=A947;BOLOGNOLA;A947;MC;2025;28;20-12-2024;20-02-2025;IMU;;3321_DIMUNIC-10mc25a947d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078a690&nome=3321_DIMUNIC-10mc25a947d.pdf;0900f2308078a690
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=B398;CALDAROLA;B398;MC;2025;49;19-12-2024;31-03-2025;IMU;;855_DIMUNIC-10mc25b398d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807bfece&nome=855_DIMUNIC-10mc25b398d.pdf;0900f230807bfece
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=B474;CAMERINO;B474;MC;2025;49;30-12-2024;19-02-2025;IMU;;483_DIMUNIC-10mc25b474d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080788822&nome=483_DIMUNIC-10mc25b474d.pdf;0900f23080788822
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=B562;CAMPOROTONDO DI FIASTRONE;B562;MC;2025;10;17-02-2025;24-02-2025;IMU;;5714_DIMUNIC-10mc25b562d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080790556&nome=5714_DIMUNIC-10mc25b562d.pdf;0900f23080790556
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=C251;CASTELRAIMONDO;C251;MC;2025;33;20-12-2024;11-02-2025;IMU;;2066_DIMUNIC-10mc25c251d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077d41e&nome=2066_DIMUNIC-10mc25c251d.pdf;0900f2308077d41e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=C267;CASTELSANTANGELO SUL NERA;C267;MC;2025;50;12-12-2024;08-01-2025;IMU;;6333_DIMUNIC-10mc25c267d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074f47d&nome=6333_DIMUNIC-10mc25c267d.pdf;0900f2308074f47d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=C582;CESSAPALOMBO;C582;MC;2025;37;18-12-2024;24-01-2025;IMU;;5383_DIMUNIC-10mc25c582d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807673cb&nome=5383_DIMUNIC-10mc25c582d.pdf;0900f230807673cb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=C704;CINGOLI;C704;MC;2025;4;16-01-2025;25-02-2025;IMU;;6728_DIMUNIC-10mc25c704d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080792817&nome=6728_DIMUNIC-10mc25c704d.pdf;0900f23080792817
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=C770;CIVITANOVA MARCHE;C770;MC;2025;66;20-12-2024;12-02-2025;IMU;;2619_DIMUNIC-10mc25c770d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077f70a&nome=2619_DIMUNIC-10mc25c770d.pdf;0900f2308077f70a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=C886;COLMURANO;C886;MC;2025;35;20-12-2024;31-03-2025;IMU;;6368_DIMUNIC-10mc25c886d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807be416&nome=6368_DIMUNIC-10mc25c886d.pdf;0900f230807be416
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=D042;CORRIDONIA;D042;MC;2025;106;23-12-2024;04-06-2025;IMU;;2972_DIMUNIC-10mc25d042d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808133c3&nome=2972_DIMUNIC-10mc25d042d.pdf;0900f230808133c3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=D429;ESANATOGLIA;D429;MC;2025;15;21-02-2025;26-02-2025;IMU;;2319_DIMUNIC-10mc25d429d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807935a2&nome=2319_DIMUNIC-10mc25d429d.pdf;0900f230807935a2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=MC&anno=2025&cc=D564;FIASTRA;D564;MC;2025;54;29-12-2024;25-02-2025;IMU;;2425_DIMUNIC-10mc25d564d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807918c6&nome=2425_DIMUNIC-10mc25d564d.pdf;0900f230807918c6
