url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=A035;ACQUALAGNA;A035;PU;2025;61;17-12-2024;12-02-2025;IMU;;1429_DIMUNIC-10pu25a035d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077f1a2&nome=1429_DIMUNIC-10pu25a035d.pdf;0900f2308077f1a2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=A035;ACQUALAGNA;A035;PU;2025;17;07-05-2025;23-05-2025;IMU;DELIBERA ADOTTATA PER IL RIENTRO DEL DISAVANZO DI AMMINISTRAZIONE EX ART. 188 C. 1 TUEL;9364_DIMUNIC-10pu25a035d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080805cf3&nome=9364_DIMUNIC-10pu25a035d.pdf;0900f23080805cf3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=A327;APECCHIO;A327;PU;2025;7;28-02-2025;12-03-2025;IMU;;7690_DIMUNIC-10pu25a327d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a68aa&nome=7690_DIMUNIC-10pu25a327d.pdf;0900f230807a68aa
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=A740;BELFORTE ALL'ISAURO;A740;PU;2025;46;18-12-2024;09-01-2025;IMU;;5465_DIMUNIC-10pu25a740d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080751a26&nome=5465_DIMUNIC-10pu25a740d.pdf;0900f23080751a26
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=B026;BORGO PACE;B026;PU;2025;41;27-11-2024;11-12-2024;IMU;;898_DIMUNIC-10pu25b026d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080734463&nome=898_DIMUNIC-10pu25b026d.pdf;0900f23080734463
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=B352;CAGLI;B352;PU;2025;58;30-12-2024;08-01-2025;IMU;;5639_DIMUNIC-10pu25b352d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074ffb2&nome=5639_DIMUNIC-10pu25b352d.pdf;0900f2308074ffb2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=B636;CANTIANO;B636;PU;2025;39;09-12-2024;13-03-2025;IMU;;3324_DIMUNIC-10pu25b636d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a7fe2&nome=3324_DIMUNIC-10pu25b636d.pdf;0900f230807a7fe2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=B816;CARPEGNA;B816;PU;2025;39;28-12-2024;10-02-2025;IMU;;3133_DIMUNIC-10pu25b816d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077ba3d&nome=3133_DIMUNIC-10pu25b816d.pdf;0900f2308077ba3d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=B846;CARTOCETO;B846;PU;2025;4;28-02-2025;12-03-2025;IMU;;993_DIMUNIC-10pu25b846d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a66d3&nome=993_DIMUNIC-10pu25b846d.pdf;0900f230807a66d3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=M380;COLLI AL METAURO;M380;PU;2025;7;24-02-2025;12-03-2025;IMU;;1008_DIMUNIC-10pu25m380d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6602&nome=1008_DIMUNIC-10pu25m380d.pdf;0900f230807a6602
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=D488;FANO;D488;PU;2025;248;19-12-2024;24-07-2025;IMU;;4924_DIMUNIC-10pu25d488d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808d0ca8&nome=4924_DIMUNIC-10pu25d488d.pdf;0900f230808d0ca8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=D541;FERMIGNANO;D541;PU;2025;57;17-12-2024;28-01-2025;IMU;;4867_DIMUNIC-10pu25d541d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076b5b8&nome=4867_DIMUNIC-10pu25d541d.pdf;0900f2308076b5b8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=D749;FOSSOMBRONE;D749;PU;2025;64;19-12-2024;12-03-2025;IMU;;1015_DIMUNIC-10pu25d749d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6481&nome=1015_DIMUNIC-10pu25d749d.pdf;0900f230807a6481
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=D791;FRATTE ROSA;D791;PU;2025;4;26-02-2025;28-02-2025;IMU;;8324_DIMUNIC-10pu25d791d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080797031&nome=8324_DIMUNIC-10pu25d791d.pdf;0900f23080797031
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=D807;FRONTINO;D807;PU;2025;24;23-12-2024;03-01-2025;IMU;;5447_DIMUNIC-10pu25d807d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074cb7c&nome=5447_DIMUNIC-10pu25d807d.pdf;0900f2308074cb7c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=D808;FRONTONE;D808;PU;2025;53;30-12-2024;14-01-2025;IMU;;3371_DIMUNIC-10pu25d808d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807565e2&nome=3371_DIMUNIC-10pu25d808d.pdf;0900f230807565e2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=D836;GABICCE MARE;D836;PU;2025;58;28-11-2024;24-12-2024;IMU;;482_DIMUNIC-10pu25d836d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074755e&nome=482_DIMUNIC-10pu25d836d.pdf;0900f2308074755e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=E122;GRADARA;E122;PU;2025;49;30-12-2024;13-03-2025;IMU;;778_DIMUNIC-10pu25e122d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a8706&nome=778_DIMUNIC-10pu25e122d.pdf;0900f230807a8706
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=E122;GRADARA;E122;PU;2025;49;30-12-2024;09-12-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;15837_DIMUNIC-10pu25e122d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080ab999b&nome=15837_DIMUNIC-10pu25e122d.pdf;0900f23080ab999b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=E351;ISOLA DEL PIANO;E351;PU;2025;3;24-02-2025;12-03-2025;IMU;;1020_DIMUNIC-10pu25e351d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a66b6&nome=1020_DIMUNIC-10pu25e351d.pdf;0900f230807a66b6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=E743;LUNANO;E743;PU;2025;33;23-12-2024;08-01-2025;IMU;;5450_DIMUNIC-10pu25e743d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074ee80&nome=5450_DIMUNIC-10pu25e743d.pdf;0900f2308074ee80
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=E785;MACERATA FELTRIA;E785;PU;2025;46;20-12-2024;29-01-2025;IMU;;3903_DIMUNIC-10pu25e785d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076de2f&nome=3903_DIMUNIC-10pu25e785d.pdf;0900f2308076de2f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=F135;MERCATELLO SUL METAURO;F135;PU;2025;6;25-02-2025;28-02-2025;IMU;;8660_DIMUNIC-10pu25f135d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080796059&nome=8660_DIMUNIC-10pu25f135d.pdf;0900f23080796059
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=F136;MERCATINO CONCA;F136;PU;2025;5;30-04-2025;06-05-2025;IMU;;7480_DIMUNIC-10pu25f136d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807eab33&nome=7480_DIMUNIC-10pu25f136d.pdf;0900f230807eab33
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=marche.htm&cm=&pr=PU&anno=2025&cc=F310;MOMBAROCCIO;F310;PU;2025;40;17-12-2024;10-01-2025;IMU;;2623_DIMUNIC-10pu25f310d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807527cf&nome=2623_DIMUNIC-10pu25f310d.pdf;0900f230807527cf
