url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=A051;ACQUAVIVA D'ISERNIA;A051;IS;2025;19;27-12-2024;26-02-2025;IMU;;1829_DIMUNIC-11is25a051d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080793f0e&nome=1829_DIMUNIC-11is25a051d.pdf;0900f23080793f0e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=A080;AGNONE;A080;IS;2025;38;30-11-2024;16-12-2024;IMU;;1109_DIMUNIC-11is25a080d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073585f&nome=1109_DIMUNIC-11is25a080d.pdf;0900f2308073585f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=A567;BAGNOLI DEL TRIGNO;A567;IS;2025;30;30-12-2024;09-01-2025;IMU;;2812_DIMUNIC-11is25a567d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074ec03&nome=2812_DIMUNIC-11is25a567d.pdf;0900f2308074ec03
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=A761;BELMONTE DEL SANNIO;A761;IS;2025;16;21-12-2024;05-06-2025;IMU;;2199_DIMUNIC-11is25a761d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080822c86&nome=2199_DIMUNIC-11is25a761d.pdf;0900f23080822c86
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=B630;CANTALUPO NEL SANNIO;B630;IS;2025;28;27-11-2024;26-02-2025;IMU;;2200_DIMUNIC-11is25b630d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080793a48&nome=2200_DIMUNIC-11is25b630d.pdf;0900f23080793a48
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=B682;CAPRACOTTA;B682;IS;2025;33;23-12-2024;13-02-2025;IMU;;1768_DIMUNIC-11is25b682d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077fe15&nome=1768_DIMUNIC-11is25b682d.pdf;0900f2308077fe15
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=B810;CAROVILLI;B810;IS;2025;24;29-11-2024;03-12-2024;IMU;;1444_DIMUNIC-11is25b810d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080727e43&nome=1444_DIMUNIC-11is25b810d.pdf;0900f23080727e43
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=B830;CARPINONE;B830;IS;2025;23;16-12-2024;21-02-2025;IMU;;3063_DIMUNIC-11is25b830d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078d251&nome=3063_DIMUNIC-11is25b830d.pdf;0900f2308078d251
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=C082;CASTEL DEL GIUDICE;C082;IS;2025;5;22-02-2025;26-02-2025;IMU;;8176_DIMUNIC-11is25c082d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080793eae&nome=8176_DIMUNIC-11is25c082d.pdf;0900f23080793eae
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=C270;CASTEL SAN VINCENZO;C270;IS;2025;7;27-02-2025;03-03-2025;IMU;;8670_DIMUNIC-11is25c270d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080796fce&nome=8670_DIMUNIC-11is25c270d.pdf;0900f23080796fce
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=C246;CASTELPETROSO;C246;IS;2025;38;04-12-2024;03-01-2025;IMU;;4192_DIMUNIC-11is25c246d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074c8b9&nome=4192_DIMUNIC-11is25c246d.pdf;0900f2308074c8b9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=molise.htm&cm=&pr=IS&anno=2025&cc=C247;CASTELPIZZUTO;C247;IS;2025;2;24-01-2025;19-09-2025;IMU;;11224_DIMUNIC-11is25c247d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808fb237&nome=11224_DIMUNIC-11is25c247d.pdf;0900f230808fb237
