url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A052;ACQUI TERME;A052;AL;2025;2;13-02-2025;07-03-2025;IMU;;6853_DIMUNIC-12al25a052d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a0622&nome=6853_DIMUNIC-12al25a052d.pdf;0900f230807a0622
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A146;ALBERA LIGURE;A146;AL;2025;1;07-02-2025;11-02-2025;IMU;;6896_DIMUNIC-12al25a146d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077d1a8&nome=6896_DIMUNIC-12al25a146d.pdf;0900f2308077d1a8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A182;ALESSANDRIA;A182;AL;2025;128;05-12-2024;28-01-2025;IMU;;1135_DIMUNIC-12al25a182d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080769068&nome=1135_DIMUNIC-12al25a182d.pdf;0900f23080769068
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A189;ALFIANO NATTA;A189;AL;2025;35;29-11-2024;11-12-2024;IMU;;5272_DIMUNIC-12al25a189d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073473a&nome=5272_DIMUNIC-12al25a189d.pdf;0900f2308073473a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A197;ALICE BEL COLLE;A197;AL;2025;21;18-12-2024;26-02-2025;IMU;;2281_DIMUNIC-12al25a197d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080793aec&nome=2281_DIMUNIC-12al25a197d.pdf;0900f23080793aec
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=M397;ALLUVIONI PIOVERA;M397;AL;2025;16;09-12-2024;12-12-2024;IMU;;3535_DIMUNIC-12al25m397d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807364a5&nome=3535_DIMUNIC-12al25m397d.pdf;0900f230807364a5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A227;ALTAVILLA MONFERRATO;A227;AL;2025;42;30-12-2024;23-01-2025;IMU;;6773_DIMUNIC-12al25a227d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080765578&nome=6773_DIMUNIC-12al25a227d.pdf;0900f23080765578
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A245;ALZANO SCRIVIA;A245;AL;2025;27;30-12-2024;12-03-2025;IMU;;5905_DIMUNIC-12al25a245d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a63b9&nome=5905_DIMUNIC-12al25a245d.pdf;0900f230807a63b9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A436;ARQUATA SCRIVIA;A436;AL;2025;2;28-02-2025;18-09-2025;IMU;;7252_DIMUNIC-12al25a436d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808f7d67&nome=7252_DIMUNIC-12al25a436d.pdf;0900f230808f7d67
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A523;AVOLASCA;A523;AL;2025;27;17-12-2024;28-08-2025;IMU;;11062_DIMUNIC-12al25a523d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808e6624&nome=11062_DIMUNIC-12al25a523d.pdf;0900f230808e6624
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A605;BALZOLA;A605;AL;2025;42;11-12-2024;13-01-2025;IMU;;3528_DIMUNIC-12al25a605d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080754d63&nome=3528_DIMUNIC-12al25a605d.pdf;0900f23080754d63
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A689;BASALUZZO;A689;AL;2025;36;19-12-2024;03-10-2025;IMU;;7056_DIMUNIC-12al25a689d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308091f10b&nome=7056_DIMUNIC-12al25a689d.pdf;0900f2308091f10b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A708;BASSIGNANA;A708;AL;2025;30;20-12-2024;18-02-2025;IMU;;4471_DIMUNIC-12al25a708d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080788707&nome=4471_DIMUNIC-12al25a708d.pdf;0900f23080788707
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A738;BELFORTE MONFERRATO;A738;AL;2025;36;13-12-2024;16-12-2024;IMU;;4873_DIMUNIC-12al25a738d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073b726&nome=4873_DIMUNIC-12al25a738d.pdf;0900f2308073b726
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A793;BERGAMASCO;A793;AL;2025;27;19-12-2024;31-12-2024;IMU;;4946_DIMUNIC-12al25a793d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080744cb4&nome=4946_DIMUNIC-12al25a793d.pdf;0900f23080744cb4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A813;BERZANO DI TORTONA;A813;AL;2025;14;18-12-2024;14-02-2025;IMU;;7943_DIMUNIC-12al25a813d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807836ce&nome=7943_DIMUNIC-12al25a813d.pdf;0900f230807836ce
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A889;BISTAGNO;A889;AL;2025;34;17-12-2024;08-01-2025;IMU;;2727_DIMUNIC-12al25a889d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075020e&nome=2727_DIMUNIC-12al25a889d.pdf;0900f2308075020e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=A998;BORGHETTO DI BORBERA;A998;AL;2025;37;30-12-2024;14-01-2025;IMU;;4099_DIMUNIC-12al25a998d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080756670&nome=4099_DIMUNIC-12al25a998d.pdf;0900f23080756670
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=B037;BORGO SAN MARTINO;B037;AL;2025;40;23-12-2024;15-05-2025;IMU;;5803_DIMUNIC-12al25b037d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807fb546&nome=5803_DIMUNIC-12al25b037d.pdf;0900f230807fb546
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=B029;BORGORATTO ALESSANDRINO;B029;AL;2025;26;28-12-2024;26-09-2025;IMU;;6340_DIMUNIC-12al25b029d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080904d74&nome=6340_DIMUNIC-12al25b029d.pdf;0900f23080904d74
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=B071;BOSCO MARENGO;B071;AL;2025;45;20-12-2024;03-03-2025;IMU;;8572_DIMUNIC-12al25b071d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807989e3&nome=8572_DIMUNIC-12al25b071d.pdf;0900f230807989e3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=B080;BOSIO;B080;AL;2025;07;15-02-2025;19-02-2025;IMU;;7349_DIMUNIC-12al25b080d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080789cd5&nome=7349_DIMUNIC-12al25b080d.pdf;0900f23080789cd5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=B109;BOZZOLE;B109;AL;2025;38;21-12-2024;15-05-2025;IMU;;5805_DIMUNIC-12al25b109d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807fb469&nome=5805_DIMUNIC-12al25b109d.pdf;0900f230807fb469
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=AL&anno=2025&cc=B179;BRIGNANO-FRASCATA;B179;AL;2025;18;10-12-2024;14-03-2025;IMU;;7057_DIMUNIC-12al25b179d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aad62&nome=7057_DIMUNIC-12al25b179d.pdf;0900f230807aad62
