url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A016;ACCEGLIO;A016;CN;2025;16;20-12-2024;30-01-2025;IMU;;5392_DIMUNIC-12cn25a016d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076f004&nome=5392_DIMUNIC-12cn25a016d.pdf;0900f2308076f004
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A113;AISONE;A113;CN;2025;21;17-12-2024;31-12-2024;IMU;;3966_DIMUNIC-12cn25a113d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074518e&nome=3966_DIMUNIC-12cn25a113d.pdf;0900f2308074518e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A124;ALBA;A124;CN;2025;87;20-12-2024;13-01-2025;IMU;;4796_DIMUNIC-12cn25a124d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807534c3&nome=4796_DIMUNIC-12cn25a124d.pdf;0900f230807534c3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A139;ALBARETTO DELLA TORRE;A139;CN;2025;36;17-12-2024;12-03-2025;IMU;;3831_DIMUNIC-12cn25a139d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a645b&nome=3831_DIMUNIC-12cn25a139d.pdf;0900f230807a645b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A238;ALTO;A238;CN;2025;2;11-01-2025;14-01-2025;IMU;;6509_DIMUNIC-12cn25a238d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807562ec&nome=6509_DIMUNIC-12cn25a238d.pdf;0900f230807562ec
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A394;ARGENTERA;A394;CN;2025;31;30-12-2024;23-01-2025;IMU;;3234_DIMUNIC-12cn25a394d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080764cef&nome=3234_DIMUNIC-12cn25a394d.pdf;0900f23080764cef
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A396;ARGUELLO;A396;CN;2025;29;16-12-2024;08-09-2025;IMU;;5261_DIMUNIC-12cn25a396d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808ec78e&nome=5261_DIMUNIC-12cn25a396d.pdf;0900f230808ec78e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A555;BAGNASCO;A555;CN;2025;29;28-12-2024;09-01-2025;IMU;;2621_DIMUNIC-12cn25a555d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080751a57&nome=2621_DIMUNIC-12cn25a555d.pdf;0900f23080751a57
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A571;BAGNOLO PIEMONTE;A571;CN;2025;35;18-12-2024;05-03-2025;IMU;;1356_DIMUNIC-12cn25a571d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079c335&nome=1356_DIMUNIC-12cn25a571d.pdf;0900f2308079c335
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A589;BALDISSERO D'ALBA;A589;CN;2025;38;17-12-2024;13-01-2025;IMU;;5236_DIMUNIC-12cn25a589d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080753546&nome=5236_DIMUNIC-12cn25a589d.pdf;0900f23080753546
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A629;BARBARESCO;A629;CN;2025;3;26-02-2025;27-03-2025;IMU;;3605_DIMUNIC-12cn25a629d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807bb43c&nome=3605_DIMUNIC-12cn25a629d.pdf;0900f230807bb43c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=CN&anno=2025&cc=A660;BARGE;A660;CN;2025;51;17-12-2024;25-03-2025;IMU;;729_DIMUNIC-12cn25a660d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b87cb&nome=729_DIMUNIC-12cn25a660d.pdf;0900f230807b87cb
