url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A088;AGRATE CONTURBIA;A088;NO;2025;3;12-02-2025;20-03-2025;IMU;;7453_DIMUNIC-12no25a088d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b1418&nome=7453_DIMUNIC-12no25a088d.pdf;0900f230807b1418
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A264;AMENO;A264;NO;2025;20;27-12-2024;21-01-2025;IMU;;2657_DIMUNIC-12no25a264d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080761804&nome=2657_DIMUNIC-12no25a264d.pdf;0900f23080761804
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A414;ARMENO;A414;NO;2025;40;10-12-2024;29-10-2025;IMU;INEFFICACE PER IL 2025 - PUBBLICATO OLTRE IL 28/10/25;12063_DIMUNIC-12no25a414d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080a8427c&nome=12063_DIMUNIC-12no25a414d.pdf;0900f23080a8427c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A429;ARONA;A429;NO;2025;1;13-01-2025;21-01-2025;IMU;;948_DIMUNIC-12no25a429d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080761f39&nome=948_DIMUNIC-12no25a429d.pdf;0900f23080761f39
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A653;BARENGO;A653;NO;2025;44;28-12-2024;04-03-2025;IMU;;4995_DIMUNIC-12no25a653d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079b754&nome=4995_DIMUNIC-12no25a653d.pdf;0900f2308079b754
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A752;BELLINZAGO NOVARESE;A752;NO;2025;52;18-12-2024;05-02-2025;IMU;;3697_DIMUNIC-12no25a752d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080775f9f&nome=3697_DIMUNIC-12no25a752d.pdf;0900f23080775f9f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A844;BIANDRATE;A844;NO;2025;26;10-12-2024;13-12-2024;IMU;;4772_DIMUNIC-12no25a844d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073831f&nome=4772_DIMUNIC-12no25a844d.pdf;0900f2308073831f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A911;BOCA;A911;NO;2025;15;14-12-2024;27-02-2025;IMU;;8627_DIMUNIC-12no25a911d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807954f1&nome=8627_DIMUNIC-12no25a911d.pdf;0900f230807954f1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A929;BOGOGNO;A929;NO;2025;21;18-12-2024;29-01-2025;IMU;;3035_DIMUNIC-12no25a929d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076c670&nome=3035_DIMUNIC-12no25a929d.pdf;0900f2308076c670
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=NO&anno=2025&cc=A953;BOLZANO NOVARESE;A953;NO;2025;37;30-12-2024;12-03-2025;IMU;;4652_DIMUNIC-12no25a953d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6a26&nome=4652_DIMUNIC-12no25a953d.pdf;0900f230807a6a26
