url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2025&cc=A119;ALAGNA VALSESIA;A119;VC;2025;1;27-02-2025;13-03-2025;IMU;;5527_DIMUNIC-12vc25a119d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a8956&nome=5527_DIMUNIC-12vc25a119d.pdf;0900f230807a8956
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2025&cc=A130;ALBANO VERCELLESE;A130;VC;2025;26;18-12-2024;13-03-2025;IMU;;4506_DIMUNIC-12vc25a130d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a9382&nome=4506_DIMUNIC-12vc25a130d.pdf;0900f230807a9382
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2025&cc=A198;ALICE CASTELLO;A198;VC;2025;40;23-12-2024;07-02-2025;IMU;;1319_DIMUNIC-12vc25a198d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080778736&nome=1319_DIMUNIC-12vc25a198d.pdf;0900f23080778736
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2025&cc=M389;ALTO SERMENZA;M389;VC;2025;33;27-12-2024;03-03-2025;IMU;;6551_DIMUNIC-12vc25m389d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080798901&nome=6551_DIMUNIC-12vc25m389d.pdf;0900f23080798901
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2026&cc=A358;ARBORIO;A358;VC;2026;24;20-11-2025;11-12-2025;IMU;;12729_DIMUNIC-12vc26a358d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080abbecc&nome=12729_DIMUNIC-12vc26a358d.pdf;0900f23080abbecc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2025&cc=A466;ASIGLIANO VERCELLESE;A466;VC;2025;34;16-12-2024;14-03-2025;IMU;;6010_DIMUNIC-12vc25a466d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aa747&nome=6010_DIMUNIC-12vc25a466d.pdf;0900f230807aa747
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2025&cc=A600;BALMUCCIA;A600;VC;2025;19;19-12-2024;06-03-2025;IMU;;5729_DIMUNIC-12vc25a600d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079e6b2&nome=5729_DIMUNIC-12vc25a600d.pdf;0900f2308079e6b2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2025&cc=A601;BALOCCO;A601;VC;2025;24;13-12-2024;09-01-2025;IMU;;2010_DIMUNIC-12vc25a601d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080750db6&nome=2010_DIMUNIC-12vc25a601d.pdf;0900f23080750db6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2025&cc=A847;BIANZE';A847;VC;2025;42;17-12-2024;07-02-2025;IMU;;2337_DIMUNIC-12vc25a847d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080778735&nome=2337_DIMUNIC-12vc25a847d.pdf;0900f23080778735
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=piemonte.htm&cm=&pr=VC&anno=2025&cc=A914;BOCCIOLETO;A914;VC;2025;1;27-02-2025;03-03-2025;IMU;;8581_DIMUNIC-12vc25a914d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079890e&nome=8581_DIMUNIC-12vc25a914d.pdf;0900f2308079890e
