url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=A285;ANDRIA;A285;BT;2025;132;18-12-2024;18-02-2025;IMU;;823_DIMUNIC-13bt25a285d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807873dc&nome=823_DIMUNIC-13bt25a285d.pdf;0900f230807873dc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=A669;BARLETTA;A669;BT;2025;114;30-12-2024;03-07-2025;IMU;;1315_DIMUNIC-13bt25a669d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808ae405&nome=1315_DIMUNIC-13bt25a669d.pdf;0900f230808ae405
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=A883;BISCEGLIE;A883;BT;2025;9;06-03-2025;12-03-2025;IMU;;13_DIMUNIC-13bt25a883d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a5b5a&nome=13_DIMUNIC-13bt25a883d.pdf;0900f230807a5b5a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=B619;CANOSA DI PUGLIA;B619;BT;2025;80;29-11-2024;13-12-2024;IMU;;1179_DIMUNIC-13bt25b619d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080737825&nome=1179_DIMUNIC-13bt25b619d.pdf;0900f23080737825
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=E946;MARGHERITA DI SAVOIA;E946;BT;2025;47;17-12-2024;28-02-2025;IMU;;4230_DIMUNIC-13bt25e946d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807965ba&nome=4230_DIMUNIC-13bt25e946d.pdf;0900f230807965ba
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=F220;MINERVINO MURGE;F220;BT;2025;8;25-02-2025;14-03-2025;IMU;;8418_DIMUNIC-13bt25f220d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a8c15&nome=8418_DIMUNIC-13bt25f220d.pdf;0900f230807a8c15
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=H839;SAN FERDINANDO DI PUGLIA;H839;BT;2025;4;25-11-2024;12-12-2024;IMU;;2928_DIMUNIC-13bt25h839d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080722908&nome=2928_DIMUNIC-13bt25h839d.pdf;0900f23080722908
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=I907;SPINAZZOLA;I907;BT;2025;38;27-12-2024;07-02-2025;IMU;;2286_DIMUNIC-13bt25i907d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080777edb&nome=2286_DIMUNIC-13bt25i907d.pdf;0900f23080777edb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=L328;TRANI;L328;BT;2025;78;18-12-2024;15-01-2025;IMU;;3002_DIMUNIC-13bt25l328d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807581dc&nome=3002_DIMUNIC-13bt25l328d.pdf;0900f230807581dc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=BT&anno=2025&cc=B915;TRINITAPOLI;B915;BT;2025;34;23-12-2024;22-01-2025;IMU;;2611_DIMUNIC-13bt25b915d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076372c&nome=2611_DIMUNIC-13bt25b915d.pdf;0900f2308076372c
