url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=A015;ACCADIA;A015;FG;2025;29;27-11-2024;13-01-2025;IMU;;1985_DIMUNIC-13fg25a015d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080750812&nome=1985_DIMUNIC-13fg25a015d.pdf;0900f23080750812
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=A150;ALBERONA;A150;FG;2025;10;27-02-2025;05-03-2025;IMU;;8254_DIMUNIC-13fg25a150d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080798873&nome=8254_DIMUNIC-13fg25a150d.pdf;0900f23080798873
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=A320;ANZANO DI PUGLIA;A320;FG;2025;2;27-02-2025;05-03-2025;IMU;;8267_DIMUNIC-13fg25a320d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080798338&nome=8267_DIMUNIC-13fg25a320d.pdf;0900f23080798338
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=A339;APRICENA;A339;FG;2025;63;23-12-2024;20-03-2025;IMU;;8924_DIMUNIC-13fg25a339d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b1dda&nome=8924_DIMUNIC-13fg25a339d.pdf;0900f230807b1dda
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=A463;ASCOLI SATRIANO;A463;FG;2025;41;28-12-2024;13-03-2025;IMU;;5344_DIMUNIC-13fg25a463d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6be8&nome=5344_DIMUNIC-13fg25a463d.pdf;0900f230807a6be8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=A854;BICCARI;A854;FG;2025;40;23-12-2024;18-02-2025;IMU;;4853_DIMUNIC-13fg25a854d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077ff54&nome=4853_DIMUNIC-13fg25a854d.pdf;0900f2308077ff54
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=B104;BOVINO;B104;FG;2025;177;20-12-2024;10-01-2025;IMU;;4712_DIMUNIC-13fg25b104d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074793e&nome=4712_DIMUNIC-13fg25b104d.pdf;0900f2308074793e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=B104;BOVINO;B104;FG;2025;1;27-02-2025;25-03-2025;IMU;;7076_DIMUNIC-13fg25b104d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b9304&nome=7076_DIMUNIC-13fg25b104d.pdf;0900f230807b9304
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=B357;CAGNANO VARANO;B357;FG;2025;44;23-12-2024;17-03-2025;IMU;;4188_DIMUNIC-13fg25b357d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a973a&nome=4188_DIMUNIC-13fg25b357d.pdf;0900f230807a973a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=FG&anno=2025&cc=B584;CANDELA;B584;FG;2025;2;27-02-2025;13-03-2025;IMU;;6813_DIMUNIC-13fg25b584d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a8a18&nome=6813_DIMUNIC-13fg25b584d.pdf;0900f230807a8a18
