url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=A514;AVETRANA;A514;TA;2025;61;28-11-2024;13-03-2025;IMU;;2499_DIMUNIC-13ta25a514d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6e30&nome=2499_DIMUNIC-13ta25a514d.pdf;0900f230807a6e30
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=B808;CAROSINO;B808;TA;2025;1;26-02-2025;05-03-2025;IMU;;7806_DIMUNIC-13ta25b808d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080795a30&nome=7806_DIMUNIC-13ta25b808d.pdf;0900f23080795a30
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=C136;CASTELLANETA;C136;TA;2025;9;12-03-2025;17-06-2025;IMU;COMUNE CON DELIBERA DI PREDISSESTO;7492_DIMUNIC-13ta25c136d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080843f6c&nome=7492_DIMUNIC-13ta25c136d.pdf;0900f23080843f6c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=D171;CRISPIANO;D171;TA;2025;99;19-12-2024;28-05-2025;IMU;;4310_DIMUNIC-13ta25d171d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308081295a&nome=4310_DIMUNIC-13ta25d171d.pdf;0900f2308081295a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=D171;CRISPIANO;D171;TA;2025;63;10-10-2025;15-10-2025;IMU;AUTOTUTELA EX ART. 21-NONIES, L. 241/1990;11482_DIMUNIC-13ta25d171d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230809d05e6&nome=11482_DIMUNIC-13ta25d171d.pdf;0900f230809d05e6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=D463;FAGGIANO;D463;TA;2025;54;20-12-2024;21-01-2025;IMU;;7123_DIMUNIC-13ta25d463d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807602b1&nome=7123_DIMUNIC-13ta25d463d.pdf;0900f230807602b1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=D754;FRAGAGNANO;D754;TA;2025;46;21-11-2024;09-12-2024;IMU;;328_DIMUNIC-13ta25d754d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308072e8f2&nome=328_DIMUNIC-13ta25d754d.pdf;0900f2308072e8f2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=E036;GINOSA;E036;TA;2025;66;30-12-2024;28-01-2025;IMU;;5014_DIMUNIC-13ta25e036d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080769007&nome=5014_DIMUNIC-13ta25e036d.pdf;0900f23080769007
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=E205;GROTTAGLIE;E205;TA;2025;104;30-12-2024;07-08-2025;IMU;;3710_DIMUNIC-13ta25e205d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808dc991&nome=3710_DIMUNIC-13ta25e205d.pdf;0900f230808dc991
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=puglia.htm&cm=&pr=TA&anno=2025&cc=E205;GROTTAGLIE;E205;TA;2025;104;30-12-2024;07-11-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;12262_DIMUNIC-13ta25e205d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080a8d119&nome=12262_DIMUNIC-13ta25e205d.pdf;0900f23080a8d119
