url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2025&cc=A474;ASSEMINI;A474;CA;2025;8;19-03-2025;24-03-2025;IMU;;8626_DIMUNIC-14ca25a474d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b3ed7&nome=8626_DIMUNIC-14ca25a474d.pdf;0900f230807b3ed7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2025&cc=B354;CAGLIARI;B354;CA;2025;142;16-12-2024;03-03-2025;IMU;;1589_DIMUNIC-14ca25b354d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079672e&nome=1589_DIMUNIC-14ca25b354d.pdf;0900f2308079672e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2026&cc=B675;CAPOTERRA;B675;CA;2026;62;27-11-2025;09-12-2025;IMU;;12845_DIMUNIC-14ca26b675d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080ab8acb&nome=12845_DIMUNIC-14ca26b675d.pdf;0900f23080ab8acb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2025&cc=D259;DECIMOMANNU;D259;CA;2025;02;27-02-2025;03-03-2025;IMU;;7837_DIMUNIC-14ca25d259d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080796ea5&nome=7837_DIMUNIC-14ca25d259d.pdf;0900f23080796ea5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2026&cc=D399;ELMAS;D399;CA;2026;50;26-11-2025;09-12-2025;IMU;;12681_DIMUNIC-14ca26d399d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080aa9f80&nome=12681_DIMUNIC-14ca26d399d.pdf;0900f23080aa9f80
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2025&cc=E903;MARACALAGONIS;E903;CA;2025;1;26-02-2025;21-03-2025;IMU;;7642_DIMUNIC-14ca25e903d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b2d3b&nome=7642_DIMUNIC-14ca25e903d.pdf;0900f230807b2d3b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2025&cc=F383;MONSERRATO;F383;CA;2025;71;17-12-2024;30-01-2025;IMU;;3296_DIMUNIC-14ca25f383d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080764338&nome=3296_DIMUNIC-14ca25f383d.pdf;0900f23080764338
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2025&cc=H088;PULA;H088;CA;2025;56;17-12-2024;19-02-2025;IMU;;5524_DIMUNIC-14ca25h088d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078a21b&nome=5524_DIMUNIC-14ca25h088d.pdf;0900f2308078a21b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2025&cc=H118;QUARTU SANT'ELENA;H118;CA;2025;112;20-12-2024;13-01-2025;IMU;;1816_DIMUNIC-14ca25h118d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080754bd3&nome=1816_DIMUNIC-14ca25h118d.pdf;0900f23080754bd3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2025&cc=H119;QUARTUCCIU;H119;CA;2025;41;29-11-2024;20-12-2024;IMU;;2908_DIMUNIC-14ca25h119d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080744a74&nome=2908_DIMUNIC-14ca25h119d.pdf;0900f23080744a74
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=CA&anno=2026&cc=I443;SARROCH;I443;CA;2026;40;28-11-2025;09-12-2025;IMU;;13354_DIMUNIC-14ca26i443d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080ab9acf&nome=13354_DIMUNIC-14ca26i443d.pdf;0900f23080ab9acf
