url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A407;ARITZO;A407;NU;2025;40;20-12-2024;30-12-2024;IMU;;2428_DIMUNIC-14nu25a407d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080747a1d&nome=2428_DIMUNIC-14nu25a407d.pdf;0900f23080747a1d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A454;ARZANA;A454;NU;2025;28;10-12-2024;13-02-2025;IMU;;3552_DIMUNIC-14nu25a454d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807808ad&nome=3552_DIMUNIC-14nu25a454d.pdf;0900f230807808ad
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A492;ATZARA;A492;NU;2025;39;30-12-2024;13-02-2025;IMU;;2152_DIMUNIC-14nu25a492d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807807ee&nome=2152_DIMUNIC-14nu25a492d.pdf;0900f230807807ee
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A503;AUSTIS;A503;NU;2025;19;23-12-2024;22-01-2025;IMU;;7177_DIMUNIC-14nu25a503d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076201a&nome=7177_DIMUNIC-14nu25a503d.pdf;0900f2308076201a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A503;AUSTIS;A503;NU;2025;19;23-12-2024;03-04-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;9153_DIMUNIC-14nu25a503d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807c3792&nome=9153_DIMUNIC-14nu25a503d.pdf;0900f230807c3792
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A663;BARI SARDO;A663;NU;2025;2;29-01-2024;12-12-2025;IMU;INEFFICACE PER IL 2025 - PUBBLICATO OLTRE IL 28/10/25;14092_DIMUNIC-14nu25a663d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080aa6ef3&nome=14092_DIMUNIC-14nu25a663d.pdf;0900f23080aa6ef3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A722;BAUNEI;A722;NU;2025;53;27-12-2024;30-01-2025;IMU;;3396_DIMUNIC-14nu25a722d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076b1e0&nome=3396_DIMUNIC-14nu25a722d.pdf;0900f2308076b1e0
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A776;BELVI';A776;NU;2025;2;20-01-2025;21-08-2025;IMU;;6698_DIMUNIC-14nu25a776d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808e2483&nome=6698_DIMUNIC-14nu25a776d.pdf;0900f230808e2483
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A880;BIRORI;A880;NU;2025;5;24-03-2025;16-09-2025;IMU;;8620_DIMUNIC-14nu25a880d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808f3676&nome=8620_DIMUNIC-14nu25a880d.pdf;0900f230808f3676
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A895;BITTI;A895;NU;2025;1;28-02-2025;03-03-2025;IMU;;7936_DIMUNIC-14nu25a895d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079784c&nome=7936_DIMUNIC-14nu25a895d.pdf;0900f2308079784c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=A948;BOLOTANA;A948;NU;2025;32;29-11-2024;19-12-2024;IMU;;1714_DIMUNIC-14nu25a948d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073f97d&nome=1714_DIMUNIC-14nu25a948d.pdf;0900f2308073f97d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=B056;BORORE;B056;NU;2025;41;18-12-2024;08-08-2025;IMU;;5422_DIMUNIC-14nu25b056d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808dc49d&nome=5422_DIMUNIC-14nu25b056d.pdf;0900f230808dc49d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=B062;BORTIGALI;B062;NU;2025;34;23-12-2024;12-03-2025;IMU;;6071_DIMUNIC-14nu25b062d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6881&nome=6071_DIMUNIC-14nu25b062d.pdf;0900f230807a6881
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=M285;CARDEDU;M285;NU;2025;12;27-12-2024;13-03-2025;IMU;;6430_DIMUNIC-14nu25m285d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a8692&nome=6430_DIMUNIC-14nu25m285d.pdf;0900f230807a8692
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=D287;DESULO;D287;NU;2025;27;30-12-2024;03-01-2025;IMU;;1171_DIMUNIC-14nu25d287d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074d968&nome=1171_DIMUNIC-14nu25d287d.pdf;0900f2308074d968
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=D345;DORGALI;D345;NU;2025;39;30-12-2024;12-03-2025;IMU;;3478_DIMUNIC-14nu25d345d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6ce8&nome=3478_DIMUNIC-14nu25d345d.pdf;0900f230807a6ce8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=D376;DUALCHI;D376;NU;2025;26;30-12-2024;19-02-2025;IMU;;705_DIMUNIC-14nu25d376d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080789ec4&nome=705_DIMUNIC-14nu25d376d.pdf;0900f23080789ec4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=D395;ELINI;D395;NU;2025;24;30-12-2024;14-10-2025;IMU;;1859_DIMUNIC-14nu25d395d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230809c13b7&nome=1859_DIMUNIC-14nu25d395d.pdf;0900f230809c13b7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=D665;FONNI;D665;NU;2025;34;23-12-2024;12-03-2025;IMU;;5827_DIMUNIC-14nu25d665d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a72f0&nome=5827_DIMUNIC-14nu25d665d.pdf;0900f230807a72f0
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=D842;GADONI;D842;NU;2025;30;27-12-2024;14-01-2025;IMU;;6549_DIMUNIC-14nu25d842d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807569d3&nome=6549_DIMUNIC-14nu25d842d.pdf;0900f230807569d3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=D859;GAIRO;D859;NU;2025;33;19-12-2024;31-12-2024;IMU;;5177_DIMUNIC-14nu25d859d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074a488&nome=5177_DIMUNIC-14nu25d859d.pdf;0900f2308074a488
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sardegna.htm&cm=&pr=NU&anno=2025&cc=D888;GALTELLI';D888;NU;2025;35;25-11-2024;04-12-2024;IMU;;3606_DIMUNIC-14nu25d888d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080721ed7&nome=3606_DIMUNIC-14nu25d888d.pdf;0900f23080721ed7
