url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=A049;ACQUAVIVA PLATANI;A049;CL;2025;53;30-12-2024;09-01-2025;IMU;;4823_DIMUNIC-15cl25a049d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080750d8c&nome=4823_DIMUNIC-15cl25a049d.pdf;0900f23080750d8c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=A957;BOMPENSIERE;A957;CL;2025;34;09-12-2024;13-10-2025;IMU;;1968_DIMUNIC-15cl25a957d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230809c1804&nome=1968_DIMUNIC-15cl25a957d.pdf;0900f230809c1804
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=B302;BUTERA;B302;CL;2025;56;17-12-2024;20-12-2024;IMU;;3566_DIMUNIC-15cl25b302d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080743469&nome=3566_DIMUNIC-15cl25b302d.pdf;0900f23080743469
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=B429;CALTANISSETTA;B429;CL;2025;76;13-12-2024;02-01-2025;IMU;;1168_DIMUNIC-15cl25b429d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074c7f2&nome=1168_DIMUNIC-15cl25b429d.pdf;0900f2308074c7f2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=B537;CAMPOFRANCO;B537;CL;2025;42;23-12-2024;31-12-2024;IMU;;5831_DIMUNIC-15cl25b537d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074a4a8&nome=5831_DIMUNIC-15cl25b537d.pdf;0900f2308074a4a8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=D267;DELIA;D267;CL;2025;2;12-02-2025;20-02-2025;IMU;;7087_DIMUNIC-15cl25d267d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807887f6&nome=7087_DIMUNIC-15cl25d267d.pdf;0900f230807887f6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=D960;GELA;D960;CL;2025;156;27-12-2024;03-01-2025;IMU;;6638_DIMUNIC-15cl25d960d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074acb2&nome=6638_DIMUNIC-15cl25d960d.pdf;0900f2308074acb2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=E953;MARIANOPOLI;E953;CL;2025;4;25-02-2025;28-03-2025;IMU;;7981_DIMUNIC-15cl25e953d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807bd020&nome=7981_DIMUNIC-15cl25e953d.pdf;0900f230807bd020
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=E618;MILENA;E618;CL;2025;05/2025;27-02-2025;06-03-2025;IMU;;8717_DIMUNIC-15cl25e618d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079e416&nome=8717_DIMUNIC-15cl25e618d.pdf;0900f2308079e416
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=CL&anno=2025&cc=F489;MONTEDORO;F489;CL;2025;2;26-02-2025;28-02-2025;IMU;;7502_DIMUNIC-15cl25f489d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807969f7&nome=7502_DIMUNIC-15cl25f489d.pdf;0900f230807969f7
