url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=A070;AGIRA;A070;EN;2025;5;26-02-2025;27-02-2025;IMU;;7739_DIMUNIC-15en25a070d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079543c&nome=7739_DIMUNIC-15en25a070d.pdf;0900f2308079543c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=A098;AIDONE;A098;EN;2025;33;30-12-2024;18-08-2025;IMU;;5477_DIMUNIC-15en25a098d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808e0d04&nome=5477_DIMUNIC-15en25a098d.pdf;0900f230808e0d04
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=A478;ASSORO;A478;EN;2025;70;19-12-2024;13-02-2025;IMU;;4848_DIMUNIC-15en25a478d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807803d0&nome=4848_DIMUNIC-15en25a478d.pdf;0900f230807803d0
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=A676;BARRAFRANCA;A676;EN;2025;108;20-12-2024;03-09-2025;IMU;;5365_DIMUNIC-15en25a676d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808de284&nome=5365_DIMUNIC-15en25a676d.pdf;0900f230808de284
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=C353;CATENANUOVA;C353;EN;2025;46;23-12-2024;20-02-2025;IMU;;4959_DIMUNIC-15en25c353d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078b8dc&nome=4959_DIMUNIC-15en25c353d.pdf;0900f2308078b8dc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=C471;CENTURIPE;C471;EN;2025;39;30-12-2024;21-01-2025;IMU;;6027_DIMUNIC-15en25c471d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080760cc8&nome=6027_DIMUNIC-15en25c471d.pdf;0900f23080760cc8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=C480;CERAMI;C480;EN;2025;03;26-02-2025;24-03-2025;IMU;;7552_DIMUNIC-15en25c480d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b5f00&nome=7552_DIMUNIC-15en25c480d.pdf;0900f230807b5f00
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=C342;ENNA;C342;EN;2025;87;19-12-2024;13-01-2025;IMU;;2719_DIMUNIC-15en25c342d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807550ed&nome=2719_DIMUNIC-15en25c342d.pdf;0900f230807550ed
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=D849;GAGLIANO CASTELFERRATO;D849;EN;2025;52;27-12-2024;06-02-2025;IMU;;7533_DIMUNIC-15en25d849d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807773e8&nome=7533_DIMUNIC-15en25d849d.pdf;0900f230807773e8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=E536;LEONFORTE;E536;EN;2025;89;14-10-2024;25-02-2025;IMU;;8488_DIMUNIC-15en25e536d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080792838&nome=8488_DIMUNIC-15en25e536d.pdf;0900f23080792838
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=F892;NICOSIA;F892;EN;2025;10;26-02-2025;13-03-2025;IMU;;7955_DIMUNIC-15en25f892d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a8e30&nome=7955_DIMUNIC-15en25f892d.pdf;0900f230807a8e30
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=G580;PIAZZA ARMERINA;G580;EN;2025;96;30-12-2024;06-05-2025;IMU;;1682_DIMUNIC-15en25g580d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807ea694&nome=1682_DIMUNIC-15en25g580d.pdf;0900f230807ea694
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=G624;PIETRAPERZIA;G624;EN;2025;38;11-09-2025;03-10-2025;IMU;;10843_DIMUNIC-15en25g624d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308091e156&nome=10843_DIMUNIC-15en25g624d.pdf;0900f2308091e156
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=H221;REGALBUTO;H221;EN;2025;88;23-12-2024;21-01-2025;IMU;;967_DIMUNIC-15en25h221d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080760068&nome=967_DIMUNIC-15en25h221d.pdf;0900f23080760068
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=I891;SPERLINGA;I891;EN;2025;29;19-12-2024;04-09-2025;IMU;;3763_DIMUNIC-15en25i891d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808ea9e1&nome=3763_DIMUNIC-15en25i891d.pdf;0900f230808ea9e1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=L448;TROINA;L448;EN;2025;2;21-02-2025;26-02-2025;IMU;;7483_DIMUNIC-15en25l448d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080793cea&nome=7483_DIMUNIC-15en25l448d.pdf;0900f23080793cea
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=EN&anno=2025&cc=L583;VALGUARNERA CAROPEPE;L583;EN;2025;10;27-02-2025;08-09-2025;IMU;;8702_DIMUNIC-15en25l583d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808ec0f5&nome=8702_DIMUNIC-15en25l583d.pdf;0900f230808ec0f5
