url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2025&cc=M211;ACQUEDOLCI;M211;ME;2025;80;19-12-2024;09-01-2025;IMU;;5339_DIMUNIC-15me25m211d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080751ca3&nome=5339_DIMUNIC-15me25m211d.pdf;0900f23080751ca3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2025&cc=A177;ALCARA LI FUSI;A177;ME;2025;29;23-12-2024;28-02-2025;IMU;;5563_DIMUNIC-15me25a177d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080797eaf&nome=5563_DIMUNIC-15me25a177d.pdf;0900f23080797eaf
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2025&cc=A194;ALI';A194;ME;2025;2;28-02-2025;03-03-2025;IMU;;7303_DIMUNIC-15me25a194d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807984e3&nome=7303_DIMUNIC-15me25a194d.pdf;0900f230807984e3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2025&cc=A201;ALI' TERME;A201;ME;2025;6;28-02-2025;24-03-2025;IMU;;8073_DIMUNIC-15me25a201d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b6555&nome=8073_DIMUNIC-15me25a201d.pdf;0900f230807b6555
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2025&cc=A313;ANTILLO;A313;ME;2025;39;20-12-2024;19-03-2025;IMU;;6004_DIMUNIC-15me25a313d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b00d7&nome=6004_DIMUNIC-15me25a313d.pdf;0900f230807b00d7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2025&cc=A638;BARCELLONA POZZO DI GOTTO;A638;ME;2025;58;19-12-2024;13-02-2025;IMU;;2016_DIMUNIC-15me25a638d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080782367&nome=2016_DIMUNIC-15me25a638d.pdf;0900f23080782367
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2026&cc=A698;BASICO';A698;ME;2026;27;25-11-2025;09-12-2025;IMU;;13456_DIMUNIC-15me26a698d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080aae797&nome=13456_DIMUNIC-15me26a698d.pdf;0900f23080aae797
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2025&cc=B198;BROLO;B198;ME;2025;65;30-12-2024;04-06-2025;IMU;;5460_DIMUNIC-15me25b198d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080815439&nome=5460_DIMUNIC-15me25b198d.pdf;0900f23080815439
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2025&cc=B660;CAPIZZI;B660;ME;2025;2;15-05-2025;25-06-2025;IMU;;10242_DIMUNIC-15me25b660d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308086b67d&nome=10242_DIMUNIC-15me25b660d.pdf;0900f2308086b67d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=ME&anno=2025&cc=B666;CAPO D'ORLANDO;B666;ME;2025;69;16-12-2024;27-01-2025;IMU;;3676_DIMUNIC-15me25b666d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076915f&nome=3676_DIMUNIC-15me25b666d.pdf;0900f2308076915f
