url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A195;ALIA;A195;PA;2025;95;17-12-2024;24-12-2024;IMU;;1798_DIMUNIC-15pa25a195d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807479a2&nome=1798_DIMUNIC-15pa25a195d.pdf;0900f230807479a2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A202;ALIMENA;A202;PA;2025;47;18-12-2024;30-01-2025;IMU;;1872_DIMUNIC-15pa25a202d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076f759&nome=1872_DIMUNIC-15pa25a202d.pdf;0900f2308076f759
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A203;ALIMINUSA;A203;PA;2025;34;30-12-2024;03-01-2025;IMU;;6283_DIMUNIC-15pa25a203d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074d102&nome=6283_DIMUNIC-15pa25a203d.pdf;0900f2308074d102
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A229;ALTAVILLA MILICIA;A229;PA;2025;37;26-11-2024;18-02-2025;IMU;;300_DIMUNIC-15pa25a229d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807873b3&nome=300_DIMUNIC-15pa25a229d.pdf;0900f230807873b3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A239;ALTOFONTE;A239;PA;2025;109;21-11-2024;26-11-2024;IMU;;243_DIMUNIC-15pa25a239d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308071f741&nome=243_DIMUNIC-15pa25a239d.pdf;0900f2308071f741
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A546;BAGHERIA;A546;PA;2025;138;10-12-2024;16-12-2024;IMU;;282_DIMUNIC-15pa25a546d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073abcd&nome=282_DIMUNIC-15pa25a546d.pdf;0900f2308073abcd
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A592;BALESTRATE;A592;PA;2025;27;08-09-2025;09-09-2025;IMU;;11144_DIMUNIC-15pa25a592d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808eddfe&nome=11144_DIMUNIC-15pa25a592d.pdf;0900f230808eddfe
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A719;BAUCINA;A719;PA;2025;32;30-12-2024;31-12-2024;IMU;;2436_DIMUNIC-15pa25a719d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074c26c&nome=2436_DIMUNIC-15pa25a719d.pdf;0900f2308074c26c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A764;BELMONTE MEZZAGNO;A764;PA;2025;2;27-02-2025;28-02-2025;IMU;;8252_DIMUNIC-15pa25a764d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080796f33&nome=8252_DIMUNIC-15pa25a764d.pdf;0900f23080796f33
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=PA&anno=2025&cc=A882;BISACQUINO;A882;PA;2025;41;12-12-2024;20-12-2024;IMU;;3625_DIMUNIC-15pa25a882d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080743b37&nome=3625_DIMUNIC-15pa25a882d.pdf;0900f23080743b37
