url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=A014;ACATE;A014;RG;2025;5;10-02-2025;20-02-2025;IMU;;4020_DIMUNIC-15rg25a014d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080788410&nome=4020_DIMUNIC-15rg25a014d.pdf;0900f23080788410
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=C612;CHIARAMONTE GULFI;C612;RG;2025;9;25-02-2025;28-02-2025;IMU;;8485_DIMUNIC-15rg25c612d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079639d&nome=8485_DIMUNIC-15rg25c612d.pdf;0900f2308079639d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=C927;COMISO;C927;RG;2025;88;05-12-2024;28-04-2025;IMU;;1343_DIMUNIC-15rg25c927d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807e015a&nome=1343_DIMUNIC-15rg25c927d.pdf;0900f230807e015a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=E016;GIARRATANA;E016;RG;2025;35;20-12-2024;24-02-2025;IMU;;5189_DIMUNIC-15rg25e016d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079055d&nome=5189_DIMUNIC-15rg25e016d.pdf;0900f2308079055d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=E366;ISPICA;E366;RG;2025;4;22-01-2021;12-09-2025;IMU;;8313_DIMUNIC-15rg25e366d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808f19fc&nome=8313_DIMUNIC-15rg25e366d.pdf;0900f230808f19fc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=F258;MODICA;F258;RG;2025;13;24-03-2025;02-04-2025;IMU;COMUNE CON DELIBERA DI DISSESTO;2224_DIMUNIC-15rg25f258d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807c315c&nome=2224_DIMUNIC-15rg25f258d.pdf;0900f230807c315c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=F610;MONTEROSSO ALMO;F610;RG;2025;12;31-05-2025;04-06-2025;IMU;COMUNE CON DELIBERA DI PREDISSESTO;7912_DIMUNIC-15rg25f610d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308081ef69&nome=7912_DIMUNIC-15rg25f610d.pdf;0900f2308081ef69
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=G953;POZZALLO;G953;RG;2025;08;25-02-2025;11-03-2025;IMU;;7274_DIMUNIC-15rg25g953d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a5905&nome=7274_DIMUNIC-15rg25g953d.pdf;0900f230807a5905
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=H163;RAGUSA;H163;RG;2025;9;24-02-2025;14-03-2025;IMU;;8889_DIMUNIC-15rg25h163d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aaa28&nome=8889_DIMUNIC-15rg25h163d.pdf;0900f230807aaa28
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=RG&anno=2025&cc=I178;SANTA CROCE CAMERINA;I178;RG;2025;81;30-12-2024;09-01-2025;IMU;;4651_DIMUNIC-15rg25i178d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807519a8&nome=4651_DIMUNIC-15rg25i178d.pdf;0900f230807519a8
