url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=A176;ALCAMO;A176;TP;2025;132;03-12-2024;06-12-2024;IMU;;1420_DIMUNIC-15tp25a176d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308072dd96&nome=1420_DIMUNIC-15tp25a176d.pdf;0900f2308072dd96
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=B288;BUSETO PALIZZOLO;B288;TP;2025;50;19-12-2024;17-03-2025;IMU;;3545_DIMUNIC-15tp25b288d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807ac4c5&nome=3545_DIMUNIC-15tp25b288d.pdf;0900f230807ac4c5
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=B385;CALATAFIMI-SEGESTA;B385;TP;2025;55;28-11-2024;16-12-2024;IMU;;2699_DIMUNIC-15tp25b385d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080738109&nome=2699_DIMUNIC-15tp25b385d.pdf;0900f23080738109
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=B521;CAMPOBELLO DI MAZARA;B521;TP;2025;3;22-01-2025;18-08-2025;IMU;;6141_DIMUNIC-15tp25b521d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808de76f&nome=6141_DIMUNIC-15tp25b521d.pdf;0900f230808de76f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=C130;CASTELLAMMARE DEL GOLFO;C130;TP;2025;85;27-12-2024;12-03-2025;IMU;;4023_DIMUNIC-15tp25c130d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a60f2&nome=4023_DIMUNIC-15tp25c130d.pdf;0900f230807a60f2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=C286;CASTELVETRANO;C286;TP;2025;105;28-12-2024;03-01-2025;IMU;;3373_DIMUNIC-15tp25c286d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074d6ff&nome=3373_DIMUNIC-15tp25c286d.pdf;0900f2308074d6ff
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=D234;CUSTONACI;D234;TP;2025;59;23-12-2024;08-01-2025;IMU;;5515_DIMUNIC-15tp25d234d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075087b&nome=5515_DIMUNIC-15tp25d234d.pdf;0900f2308075087b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=D423;ERICE;D423;TP;2025;134;23-12-2024;21-03-2025;IMU;;1951_DIMUNIC-15tp25d423d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b384f&nome=1951_DIMUNIC-15tp25d423d.pdf;0900f230807b384f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=E023;GIBELLINA;E023;TP;2025;45;25-11-2024;20-02-2025;IMU;;1064_DIMUNIC-15tp25e023d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078c336&nome=1064_DIMUNIC-15tp25e023d.pdf;0900f2308078c336
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=sicilia.htm&cm=&pr=TP&anno=2025&cc=E974;MARSALA;E974;TP;2025;312;17-12-2024;14-01-2025;IMU;;264_DIMUNIC-15tp25e974d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080756558&nome=264_DIMUNIC-15tp25e974d.pdf;0900f23080756558
