url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=A564;BAGNO A RIPOLI;A564;FI;2025;112;19-12-2024;06-02-2025;IMU;;3481_DIMUNIC-16fi25a564d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080777410&nome=3481_DIMUNIC-16fi25a564d.pdf;0900f23080777410
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=A632;BARBERINO DI MUGELLO;A632;FI;2025;95;27-12-2024;13-01-2025;IMU;;2825_DIMUNIC-16fi25a632d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080751759&nome=2825_DIMUNIC-16fi25a632d.pdf;0900f23080751759
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=M408;BARBERINO TAVARNELLE;M408;FI;2025;71;23-12-2024;17-01-2025;IMU;;2275_DIMUNIC-16fi25m408d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075b970&nome=2275_DIMUNIC-16fi25m408d.pdf;0900f2308075b970
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=B036;BORGO SAN LORENZO;B036;FI;2025;8;24-02-2025;28-03-2025;IMU;;7255_DIMUNIC-16fi25b036d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807bd772&nome=7255_DIMUNIC-16fi25b036d.pdf;0900f230807bd772
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=B406;CALENZANO;B406;FI;2025;161;11-12-2024;20-12-2024;IMU;;4819_DIMUNIC-16fi25b406d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080734fb6&nome=4819_DIMUNIC-16fi25b406d.pdf;0900f23080734fb6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=B406;CALENZANO;B406;FI;2025;151;23-12-2024;14-01-2025;IMU;ERRATA CORRIGE PER CORREZIONE ESTREMI DELIBERA;6860_DIMUNIC-16fi25b406d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080752f54&nome=6860_DIMUNIC-16fi25b406d.pdf;0900f23080752f54
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=B507;CAMPI BISENZIO;B507;FI;2025;253;23-12-2024;17-01-2025;IMU;;832_DIMUNIC-16fi25b507d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075b329&nome=832_DIMUNIC-16fi25b507d.pdf;0900f2308075b329
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=B684;CAPRAIA E LIMITE;B684;FI;2025;70;20-12-2024;24-01-2025;IMU;;3488_DIMUNIC-16fi25b684d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080766a11&nome=3488_DIMUNIC-16fi25b684d.pdf;0900f23080766a11
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=C101;CASTELFIORENTINO;C101;FI;2025;82;20-12-2024;02-01-2025;IMU;;2240_DIMUNIC-16fi25c101d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074aee1&nome=2240_DIMUNIC-16fi25c101d.pdf;0900f2308074aee1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=FI&anno=2025&cc=C529;CERRETO GUIDI;C529;FI;2025;15;27-02-2025;13-03-2025;IMU;;925_DIMUNIC-16fi25c529d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6bc6&nome=925_DIMUNIC-16fi25c529d.pdf;0900f230807a6bc6
