url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=A369;ARCIDOSSO;A369;GR;2025;64;27-11-2024;24-01-2025;IMU;;1275_DIMUNIC-16gr25a369d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080765406&nome=1275_DIMUNIC-16gr25a369d.pdf;0900f23080765406
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=B497;CAMPAGNATICO;B497;GR;2025;53;30-12-2024;08-01-2025;IMU;;4612_DIMUNIC-16gr25b497d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074f935&nome=4612_DIMUNIC-16gr25b497d.pdf;0900f2308074f935
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=B646;CAPALBIO;B646;GR;2025;44;27-12-2024;04-09-2025;IMU;;4587_DIMUNIC-16gr25b646d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808eaab3&nome=4587_DIMUNIC-16gr25b646d.pdf;0900f230808eaab3
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=C085;CASTEL DEL PIANO;C085;GR;2025;53;28-11-2024;13-01-2025;IMU;;947_DIMUNIC-16gr25c085d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807545a8&nome=947_DIMUNIC-16gr25c085d.pdf;0900f230807545a8
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=C147;CASTELL'AZZARA;C147;GR;2025;3;24-01-2025;11-02-2025;IMU;;2643_DIMUNIC-16gr25c147d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077da42&nome=2643_DIMUNIC-16gr25c147d.pdf;0900f2308077da42
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=C310;CASTIGLIONE DELLA PESCAIA;C310;GR;2025;83;19-12-2024;13-03-2025;IMU;;2906_DIMUNIC-16gr25c310d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a73f2&nome=2906_DIMUNIC-16gr25c310d.pdf;0900f230807a73f2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=C705;CINIGIANO;C705;GR;2025;58;18-12-2024;13-03-2025;IMU;;5575_DIMUNIC-16gr25c705d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a5bdb&nome=5575_DIMUNIC-16gr25c705d.pdf;0900f230807a5bdb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=C782;CIVITELLA PAGANICO;C782;GR;2025;57;20-12-2024;03-02-2025;IMU;;4299_DIMUNIC-16gr25c782d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077101b&nome=4299_DIMUNIC-16gr25c782d.pdf;0900f2308077101b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=D656;FOLLONICA;D656;GR;2025;63;23-12-2024;06-03-2025;IMU;;341_DIMUNIC-16gr25d656d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079bc1f&nome=341_DIMUNIC-16gr25d656d.pdf;0900f2308079bc1f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=GR&anno=2025&cc=D948;GAVORRANO;D948;GR;2025;52;28-11-2024;10-12-2024;IMU;;465_DIMUNIC-16gr25d948d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308072c57c&nome=465_DIMUNIC-16gr25d948d.pdf;0900f2308072c57c
