url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=A852;BIBBONA;A852;LI;2025;4;27-02-2025;11-04-2025;IMU;;6145_DIMUNIC-16li25a852d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807cf256&nome=6145_DIMUNIC-16li25a852d.pdf;0900f230807cf256
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=B509;CAMPIGLIA MARITTIMA;B509;LI;2025;112;11-12-2024;14-01-2025;IMU;;1598_DIMUNIC-16li25b509d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807560c6&nome=1598_DIMUNIC-16li25b509d.pdf;0900f230807560c6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=B553;CAMPO NELL'ELBA;B553;LI;2025;46;18-12-2024;20-08-2025;IMU;;4496_DIMUNIC-16li25b553d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808e2d7a&nome=4496_DIMUNIC-16li25b553d.pdf;0900f230808e2d7a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=B669;CAPOLIVERI;B669;LI;2025;9;03-03-2025;13-03-2025;IMU;;7918_DIMUNIC-16li25b669d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a4cad&nome=7918_DIMUNIC-16li25b669d.pdf;0900f230807a4cad
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=B685;CAPRAIA ISOLA;B685;LI;2025;30;15-12-2024;07-08-2025;IMU;;1318_DIMUNIC-16li25b685d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808dd77c&nome=1318_DIMUNIC-16li25b685d.pdf;0900f230808dd77c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=C044;CASTAGNETO CARDUCCI;C044;LI;2025;98;27-12-2024;07-03-2025;IMU;;2083_DIMUNIC-16li25c044d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077d6ed&nome=2083_DIMUNIC-16li25c044d.pdf;0900f2308077d6ed
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=C415;CECINA;C415;LI;2025;58;28-12-2024;25-02-2025;IMU;;2986_DIMUNIC-16li25c415d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080791bbf&nome=2986_DIMUNIC-16li25c415d.pdf;0900f23080791bbf
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=C869;COLLESALVETTI;C869;LI;2025;121;23-12-2024;17-03-2025;IMU;;1591_DIMUNIC-16li25c869d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a9e43&nome=1591_DIMUNIC-16li25c869d.pdf;0900f230807a9e43
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=E625;LIVORNO;E625;LI;2025;183;20-12-2024;29-01-2025;IMU;;37_DIMUNIC-16li25e625d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076dc81&nome=37_DIMUNIC-16li25e625d.pdf;0900f2308076dc81
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=LI&anno=2025&cc=E930;MARCIANA;E930;LI;2025;46;30-12-2024;18-03-2025;IMU;;6395_DIMUNIC-16li25e930d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aeffe&nome=6395_DIMUNIC-16li25e930d.pdf;0900f230807aeffe
