url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=A496;AULLA;A496;MS;2025;40;30-12-2024;22-01-2025;IMU;;4346_DIMUNIC-16ms25a496d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080762ab1&nome=4346_DIMUNIC-16ms25a496d.pdf;0900f23080762ab1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=A576;BAGNONE;A576;MS;2025;24;09-12-2024;20-12-2024;IMU;;943_DIMUNIC-16ms25a576d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073f876&nome=943_DIMUNIC-16ms25a576d.pdf;0900f2308073f876
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=B832;CARRARA;B832;MS;2025;105;27-12-2024;13-01-2025;IMU;;4010_DIMUNIC-16ms25b832d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080752aad&nome=4010_DIMUNIC-16ms25b832d.pdf;0900f23080752aad
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=B979;CASOLA IN LUNIGIANA;B979;MS;2025;7;28-02-2025;13-03-2025;IMU;;7783_DIMUNIC-16ms25b979d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6270&nome=7783_DIMUNIC-16ms25b979d.pdf;0900f230807a6270
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=C914;COMANO;C914;MS;2025;7;05-03-2025;11-09-2025;IMU;;11231_DIMUNIC-16ms25c914d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808efd3f&nome=11231_DIMUNIC-16ms25c914d.pdf;0900f230808efd3f
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=D590;FILATTIERA;D590;MS;2025;32;23-12-2024;09-01-2025;IMU;;5822_DIMUNIC-16ms25d590d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080748470&nome=5822_DIMUNIC-16ms25d590d.pdf;0900f23080748470
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=D629;FIVIZZANO;D629;MS;2025;39;27-12-2024;15-01-2025;IMU;;1358_DIMUNIC-16ms25d629d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080757158&nome=1358_DIMUNIC-16ms25d629d.pdf;0900f23080757158
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=D735;FOSDINOVO;D735;MS;2025;48;20-12-2024;23-12-2024;IMU;;2515_DIMUNIC-16ms25d735d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080745e6b&nome=2515_DIMUNIC-16ms25d735d.pdf;0900f23080745e6b
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=E574;LICCIANA NARDI;E574;MS;2025;51;27-11-2024;02-12-2024;IMU;;302_DIMUNIC-16ms25e574d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080726c82&nome=302_DIMUNIC-16ms25e574d.pdf;0900f23080726c82
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=F023;MASSA;F023;MS;2025;181;02-12-2024;10-02-2025;IMU;;29_DIMUNIC-16ms25f023d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077bc99&nome=29_DIMUNIC-16ms25f023d.pdf;0900f2308077bc99
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=F679;MONTIGNOSO;F679;MS;2025;63;20-12-2024;02-01-2025;IMU;;1165_DIMUNIC-16ms25f679d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074be16&nome=1165_DIMUNIC-16ms25f679d.pdf;0900f2308074be16
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=F802;MULAZZO;F802;MS;2025;35;27-12-2024;26-02-2025;IMU;;8335_DIMUNIC-16ms25f802d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308078da9c&nome=8335_DIMUNIC-16ms25f802d.pdf;0900f2308078da9c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=G746;PODENZANA;G746;MS;2025;31;21-12-2024;24-01-2025;IMU;;6136_DIMUNIC-16ms25g746d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076689c&nome=6136_DIMUNIC-16ms25g746d.pdf;0900f2308076689c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=G870;PONTREMOLI;G870;MS;2025;41;23-12-2024;08-01-2025;IMU;;6170_DIMUNIC-16ms25g870d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074db0a&nome=6170_DIMUNIC-16ms25g870d.pdf;0900f2308074db0a
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=L386;TRESANA;L386;MS;2025;15;28-02-2025;13-03-2025;IMU;;7601_DIMUNIC-16ms25l386d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a7fa7&nome=7601_DIMUNIC-16ms25l386d.pdf;0900f230807a7fa7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=L946;VILLAFRANCA IN LUNIGIANA;L946;MS;2025;3;17-04-2025;16-06-2025;IMU;;7634_DIMUNIC-16ms25l946d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308083ff0d&nome=7634_DIMUNIC-16ms25l946d.pdf;0900f2308083ff0d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=L946;VILLAFRANCA IN LUNIGIANA;L946;MS;2025;17;24-07-2025;31-07-2025;IMU;;10363_DIMUNIC-16ms25l946d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808d86f7&nome=10363_DIMUNIC-16ms25l946d.pdf;0900f230808d86f7
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=toscana.htm&cm=&pr=MS&anno=2025&cc=M169;ZERI;M169;MS;2025;26;24-12-2024;05-08-2025;IMU;;3814_DIMUNIC-16ms25m169d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808dbae8&nome=3814_DIMUNIC-16ms25m169d.pdf;0900f230808dbae8
