url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=A045;ACQUASPARTA;A045;TR;2025;67;28-02-2025;28-02-2025;IMU;;7748_DIMUNIC-18tr25a045d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080797554&nome=7748_DIMUNIC-18tr25a045d.pdf;0900f23080797554
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=A045;ACQUASPARTA;A045;TR;2025;02;28-02-2025;03-03-2025;IMU;ERRATA CORRIGE PER CORREZIONE ESTREMI DELIBERA;8741_DIMUNIC-18tr25a045d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807987ce&nome=8741_DIMUNIC-18tr25a045d.pdf;0900f230807987ce
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=A207;ALLERONA;A207;TR;2025;2;27-02-2025;28-02-2025;IMU;;7905_DIMUNIC-18tr25a207d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807979ab&nome=7905_DIMUNIC-18tr25a207d.pdf;0900f230807979ab
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=A242;ALVIANO;A242;TR;2025;9;26-02-2025;28-02-2025;IMU;;7845_DIMUNIC-18tr25a242d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080795ef9&nome=7845_DIMUNIC-18tr25a242d.pdf;0900f23080795ef9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=A262;AMELIA;A262;TR;2025;3;27-02-2025;12-03-2025;IMU;;7910_DIMUNIC-18tr25a262d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a5d54&nome=7910_DIMUNIC-18tr25a262d.pdf;0900f230807a5d54
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=A439;ARRONE;A439;TR;2025;52;21-11-2024;08-01-2025;IMU;;2547_DIMUNIC-18tr25a439d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074f719&nome=2547_DIMUNIC-18tr25a439d.pdf;0900f2308074f719
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=A439;ARRONE;A439;TR;2025;49;27-11-2024;08-01-2025;IMU;ERRATA CORRIGE PER CORREZIONE ESTREMI DELIBERA;6762_DIMUNIC-18tr25a439d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080750126&nome=6762_DIMUNIC-18tr25a439d.pdf;0900f23080750126
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=A490;ATTIGLIANO;A490;TR;2025;33;30-12-2024;10-09-2025;IMU;;5624_DIMUNIC-18tr25a490d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808ee6fc&nome=5624_DIMUNIC-18tr25a490d.pdf;0900f230808ee6fc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=M258;AVIGLIANO UMBRO;M258;TR;2025;51;30-12-2024;04-02-2025;IMU;;2726_DIMUNIC-18tr25m258d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080775044&nome=2726_DIMUNIC-18tr25m258d.pdf;0900f23080775044
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=A691;BASCHI;A691;TR;2025;50;29-11-2024;09-12-2024;IMU;;2613_DIMUNIC-18tr25a691d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308072cbcb&nome=2613_DIMUNIC-18tr25a691d.pdf;0900f2308072cbcb
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=B446;CALVI DELL'UMBRIA;B446;TR;2025;42;18-12-2024;08-01-2025;IMU;;2629_DIMUNIC-18tr25b446d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074f332&nome=2629_DIMUNIC-18tr25b446d.pdf;0900f2308074f332
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=C117;CASTEL GIORGIO;C117;TR;2025;27;19-12-2024;11-02-2025;IMU;;1810_DIMUNIC-18tr25c117d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077d874&nome=1810_DIMUNIC-18tr25c117d.pdf;0900f2308077d874
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=C289;CASTEL VISCARDO;C289;TR;2025;2;28-02-2025;03-03-2025;IMU;;7846_DIMUNIC-18tr25c289d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080798622&nome=7846_DIMUNIC-18tr25c289d.pdf;0900f23080798622
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=D454;FABRO;D454;TR;2025;3;31-01-2025;28-02-2025;IMU;;6253_DIMUNIC-18tr25d454d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807963a9&nome=6253_DIMUNIC-18tr25d454d.pdf;0900f230807963a9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=D538;FERENTILLO;D538;TR;2025;36;30-12-2024;06-10-2025;IMU;;5782_DIMUNIC-18tr25d538d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308094fda9&nome=5782_DIMUNIC-18tr25d538d.pdf;0900f2308094fda9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=umbria.htm&cm=&pr=TR&anno=2025&cc=D538;FERENTILLO;D538;TR;2025;36;30-12-2024;06-10-2025;IMU;ERRATA CORRIGE PER CORREZIONE DATI PROSPETTO;11662_DIMUNIC-18tr25d538d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230809509d5&nome=11662_DIMUNIC-18tr25d538d.pdf;0900f230809509d5
