url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A205;ALLEIN;A205;AO;2025;39;15-11-2024;11-12-2024;IMU;;3014_DIMUNIC-19ao25a205d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080728966&nome=3014_DIMUNIC-19ao25a205d.pdf;0900f23080728966
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A305;ANTEY-SAINT-ANDRE';A305;AO;2025;5;20-02-2025;12-03-2025;IMU;;7231_DIMUNIC-19ao25a305d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a7454&nome=7231_DIMUNIC-19ao25a305d.pdf;0900f230807a7454
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A326;AOSTA;A326;AO;2025;162;16-12-2024;14-01-2025;IMU;;171_DIMUNIC-19ao25a326d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807563da&nome=171_DIMUNIC-19ao25a326d.pdf;0900f230807563da
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A424;ARNAD;A424;AO;2025;32;19-12-2024;17-02-2025;IMU;;4049_DIMUNIC-19ao25a424d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807864f6&nome=4049_DIMUNIC-19ao25a424d.pdf;0900f230807864f6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A452;ARVIER;A452;AO;2025;39;30-12-2024;20-01-2025;IMU;;6581_DIMUNIC-19ao25a452d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308075f968&nome=6581_DIMUNIC-19ao25a452d.pdf;0900f2308075f968
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A521;AVISE;A521;AO;2025;37;30-12-2024;25-02-2025;IMU;;6573_DIMUNIC-19ao25a521d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080791f09&nome=6573_DIMUNIC-19ao25a521d.pdf;0900f23080791f09
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A094;AYAS;A094;AO;2025;38;30-12-2024;08-09-2025;IMU;;3425_DIMUNIC-19ao25a094d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808eb3c2&nome=3425_DIMUNIC-19ao25a094d.pdf;0900f230808eb3c2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A108;AYMAVILLES;A108;AO;2025;40;18-12-2024;30-01-2025;IMU;;4123_DIMUNIC-19ao25a108d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076b6c4&nome=4123_DIMUNIC-19ao25a108d.pdf;0900f2308076b6c4
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A643;BARD;A643;AO;2025;76;14-11-2024;29-01-2025;IMU;;1630_DIMUNIC-19ao25a643d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080766fc2&nome=1630_DIMUNIC-19ao25a643d.pdf;0900f23080766fc2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=valledaosta.htm&cm=&pr=AO&anno=2025&cc=A877;BIONAZ;A877;AO;2025;51;10-12-2024;02-01-2025;IMU;;1105_DIMUNIC-19ao25a877d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080734881&nome=1105_DIMUNIC-19ao25a877d.pdf;0900f23080734881
