url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A001;ABANO TERME;A001;PD;2025;42;27-12-2024;11-02-2025;IMU;;5734_DIMUNIC-20pd25a001d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308077de03&nome=5734_DIMUNIC-20pd25a001d.pdf;0900f2308077de03
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A075;AGNA;A075;PD;2025;44;18-11-2024;19-12-2024;IMU;;1740_DIMUNIC-20pd25a075d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308073ffaa&nome=1740_DIMUNIC-20pd25a075d.pdf;0900f2308073ffaa
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A161;ALBIGNASEGO;A161;PD;2025;55;30-12-2024;29-01-2025;IMU;;1312_DIMUNIC-20pd25a161d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076c998&nome=1312_DIMUNIC-20pd25a161d.pdf;0900f2308076c998
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A296;ANGUILLARA VENETA;A296;PD;2025;32;30-12-2024;14-02-2025;IMU;;56_DIMUNIC-20pd25a296d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080783d55&nome=56_DIMUNIC-20pd25a296d.pdf;0900f23080783d55
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A434;ARQUA' PETRARCA;A434;PD;2025;65;19-12-2024;25-02-2025;IMU;;6062_DIMUNIC-20pd25a434d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080791b4c&nome=6062_DIMUNIC-20pd25a434d.pdf;0900f23080791b4c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A438;ARRE;A438;PD;2025;43;12-12-2024;18-08-2025;IMU;;977_DIMUNIC-20pd25a438d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808dbcac&nome=977_DIMUNIC-20pd25a438d.pdf;0900f230808dbcac
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A458;ARZERGRANDE;A458;PD;2025;50;23-12-2024;11-09-2025;IMU;;2646_DIMUNIC-20pd25a458d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230808eff2e&nome=2646_DIMUNIC-20pd25a458d.pdf;0900f230808eff2e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A568;BAGNOLI DI SOPRA;A568;PD;2025;39;27-12-2024;16-01-2025;IMU;;1053_DIMUNIC-20pd25a568d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807598c9&nome=1053_DIMUNIC-20pd25a568d.pdf;0900f230807598c9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A613;BAONE;A613;PD;2025;70;20-12-2024;14-02-2025;IMU;;4364_DIMUNIC-20pd25a613d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080782b42&nome=4364_DIMUNIC-20pd25a613d.pdf;0900f23080782b42
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=PD&anno=2025&cc=A637;BARBONA;A637;PD;2025;39;20-12-2024;12-03-2025;IMU;;5736_DIMUNIC-20pd25a637d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a7247&nome=5736_DIMUNIC-20pd25a637d.pdf;0900f230807a7247
