url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=A302;ANNONE VENETO;A302;VE;2025;32;19-12-2024;03-01-2025;IMU;;2856_DIMUNIC-20ve25a302d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074d994&nome=2856_DIMUNIC-20ve25a302d.pdf;0900f2308074d994
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=B493;CAMPAGNA LUPIA;B493;VE;2025;45;23-12-2024;21-01-2025;IMU;;2249_DIMUNIC-20ve25b493d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080761220&nome=2249_DIMUNIC-20ve25b493d.pdf;0900f23080761220
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=B546;CAMPOLONGO MAGGIORE;B546;VE;2025;39;23-12-2024;27-01-2025;IMU;;455_DIMUNIC-20ve25b546d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080766f31&nome=455_DIMUNIC-20ve25b546d.pdf;0900f23080766f31
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=B554;CAMPONOGARA;B554;VE;2025;56;27-12-2024;31-01-2025;IMU;;3562_DIMUNIC-20ve25b554d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308076fb49&nome=3562_DIMUNIC-20ve25b554d.pdf;0900f2308076fb49
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=B642;CAORLE;B642;VE;2025;68;30-12-2024;03-02-2025;IMU;;5187_DIMUNIC-20ve25b642d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080772bd9&nome=5187_DIMUNIC-20ve25b642d.pdf;0900f23080772bd9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=M308;CAVALLINO-TREPORTI;M308;VE;2025;97;17-12-2024;02-01-2025;IMU;;689_DIMUNIC-20ve25m308d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308074c8ba&nome=689_DIMUNIC-20ve25m308d.pdf;0900f2308074c8ba
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=M308;CAVALLINO-TREPORTI;M308;VE;2025;93;17-12-2024;14-01-2025;IMU;ERRATA CORRIGE PER CORREZIONE ESTREMI DELIBERA;6899_DIMUNIC-20ve25m308d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080754fd6&nome=6899_DIMUNIC-20ve25m308d.pdf;0900f23080754fd6
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=C383;CAVARZERE;C383;VE;2025;52;20-12-2024;04-02-2025;IMU;;685_DIMUNIC-20ve25c383d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080774d62&nome=685_DIMUNIC-20ve25c383d.pdf;0900f23080774d62
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=C422;CEGGIA;C422;VE;2025;74;30-12-2024;07-02-2025;IMU;;5415_DIMUNIC-20ve25c422d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807790f1&nome=5415_DIMUNIC-20ve25c422d.pdf;0900f230807790f1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=C422;CEGGIA;C422;VE;2025;4;24-02-2025;05-03-2025;IMU;AUTOTUTELA EX ART. 21-NONIES, L. 241/1990;8766_DIMUNIC-20ve25c422d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079d351&nome=8766_DIMUNIC-20ve25c422d.pdf;0900f2308079d351
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=C638;CHIOGGIA;C638;VE;2025;174;09-12-2024;12-03-2025;IMU;;1708_DIMUNIC-20ve25c638d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a632e&nome=1708_DIMUNIC-20ve25c638d.pdf;0900f230807a632e
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=C714;CINTO CAOMAGGIORE;C714;VE;2025;5;26-02-2025;14-03-2025;IMU;;7346_DIMUNIC-20ve25c714d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807aa3e2&nome=7346_DIMUNIC-20ve25c714d.pdf;0900f230807aa3e2
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=C938;CONA;C938;VE;2025;04;28-02-2025;09-04-2025;IMU;;9204_DIMUNIC-20ve25c938d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807ccde1&nome=9204_DIMUNIC-20ve25c938d.pdf;0900f230807ccde1
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VE&anno=2025&cc=C950;CONCORDIA SAGITTARIA;C950;VE;2025;73;30-12-2024;12-03-2025;IMU;;2912_DIMUNIC-20ve25c950d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6b9b&nome=2912_DIMUNIC-20ve25c950d.pdf;0900f230807a6b9b
