url_pagina;comune;codice_catastale;provincia;anno_riferimento;num_delibera;data_delibera;data_pubblicazione;codice_tributo;note;nome_prospetto;link_prospetto;key_documentum
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=A061;AFFI;A061;VR;2025;40;19-12-2024;12-03-2025;IMU;;980_DIMUNIC-20vr25a061d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a6d8c&nome=980_DIMUNIC-20vr25a061d.pdf;0900f230807a6d8c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=A137;ALBAREDO D'ADIGE;A137;VR;2025;26;04-12-2024;24-03-2025;IMU;;3095_DIMUNIC-20vr25a137d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807b750d&nome=3095_DIMUNIC-20vr25a137d.pdf;0900f230807b750d
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=A292;ANGIARI;A292;VR;2025;32;23-12-2024;31-01-2025;IMU;;1304_DIMUNIC-20vr25a292d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807705fc&nome=1304_DIMUNIC-20vr25a292d.pdf;0900f230807705fc
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=A374;ARCOLE;A374;VR;2025;28;23-12-2024;19-02-2025;IMU;;1017_DIMUNIC-20vr25a374d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080789d83&nome=1017_DIMUNIC-20vr25a374d.pdf;0900f23080789d83
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=A540;BADIA CALAVENA;A540;VR;2025;2;26-02-2025;27-02-2025;IMU;;8163_DIMUNIC-20vr25a540d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080795c00&nome=8163_DIMUNIC-20vr25a540d.pdf;0900f23080795c00
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=A650;BARDOLINO;A650;VR;2025;35;20-12-2024;19-02-2025;IMU;;149_DIMUNIC-20vr25a650d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080789c6c&nome=149_DIMUNIC-20vr25a650d.pdf;0900f23080789c6c
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=A737;BELFIORE;A737;VR;2025;22;28-12-2024;13-01-2025;IMU;;5829_DIMUNIC-20vr25a737d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080754a15&nome=5829_DIMUNIC-20vr25a737d.pdf;0900f23080754a15
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=A837;BEVILACQUA;A837;VR;2025;27;30-12-2024;05-03-2025;IMU;;6546_DIMUNIC-20vr25a837d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f2308079dbda&nome=6546_DIMUNIC-20vr25a837d.pdf;0900f2308079dbda
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=A964;BONAVIGO;A964;VR;2025;28;18-12-2024;12-03-2025;IMU;;3574_DIMUNIC-20vr25a964d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f230807a77c9&nome=3574_DIMUNIC-20vr25a964d.pdf;0900f230807a77c9
https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/risultato.htm?lista=1&r=1&pagina=veneto.htm&cm=&pr=VR&anno=2025&cc=B070;BOSCHI SANT'ANNA;B070;VR;2025;36;27-12-2024;28-02-2025;IMU;;708_DIMUNIC-20vr25b070d.pdf;https://www1.finanze.gov.it/finanze2/dipartimentopolitichefiscali/fiscalitalocale/nuova_imu/download_lib.php?key=0900f23080796629&nome=708_DIMUNIC-20vr25b070d.pdf;0900f23080796629
